,individual_wikidata_id,individual_name,birthyear,meta_occupation,region_name
65,Q100484,Theodor Brieger,1842.0,theologian,Northwestern Europe | Western Europe | German world | Germany
66,Q100487,Theodor Schreiber,1848.0,archeologist,Northwestern Europe | Western Europe | German world | Germany
67,Q100503137,Englebert Maghe,1636.0,historian,Northwestern Europe | Western Europe | Belgium | Low countries
68,Q100505,Johann Christian Nehring,1671.0,theologian,Northwestern Europe | Western Europe | German world | Germany
69,Q100531,Habbo Gerhard Lolling,1848.0,archeologist,Eastern Europe | Balkans | Ottoman world | Greek World | mediterranean World | Greece
70,Q100532,Richard Schöne,1840.0,archeologist,Northwestern Europe | Western Europe | German world | Germany
71,Q100538,Julius Schubring,1839.0,archeologist | archeologist,Northwestern Europe | Western Europe | German world | Germany
72,Q100557,Philipp Ernst Lüders,1702.0,economist,Northwestern Europe | Western Europe | German world | Germany
73,Q100561,Wilhelm Baur,1826.0,theologian,Northwestern Europe | Western Europe | German world | Germany
74,Q100565,Wilhelm Kirchner,1848.0,botanist,Northwestern Europe | Western Europe | German world | Germany
75,Q100587901,Józef Konstanty Bogusławski,1754.0,theologian,Eastern Europe | Central Europe
76,Q1006030,János Földi,1778.0,botanist,Eastern Europe | Central Europe
77,Q100616,Friedrich Schmitz,1850.0,botanist,Northwestern Europe | Western Europe | German world | Germany
78,Q1006181,Mihály Földváry,1672.0,historian,Eastern Europe | Central Europe
79,Q100644752,Théodore Despeyrous,1815.0,mathematician,Northwestern Europe | Western Europe | Southern France | France
80,Q100645,Gottfried Wagener,1831.0,chemist,Japan | Southern Japan
81,Q100676,Emil Lampe,1840.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
82,Q100685,Gregorius Horstius,1578.0,anatomist,Northwestern Europe | Western Europe | German world | Germany
83,Q100686,Felix Müller,1843.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
84,Q100687,Friedrich Philipp Dulk,1788.0,chemist,Eastern Europe | Slav world
85,Q100691,Gustav Kramer,1806.0,theologian,Northwestern Europe | Western Europe | German world | Germany
86,Q100701,Friedrich Wilhelm August Ludwig Kiepert,1846.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
87,Q100707,Franz Ludwig Fick,1813.0,anatomist,Northwestern Europe | Western Europe | German world | Germany
88,Q100708455,Judah Behak,1820.0,linguist,Eastern Europe | Slav world
89,Q1007175,Gabriel Bucelin,1599.0,geographer,Northwestern Europe | Western Europe | German world | Germany
90,Q100718,Nathanael Chytraeus,1543.0,theologian | theologian | historian | historian,Northwestern Europe | Western Europe | German world | Germany
91,Q100722502,Bernardino Benzi,1688.0,theologian,Western Europe | Northern Italy | Italy | Southwestern Europe
92,Q100729,Johann Benjamin Erhard,1766.0,philosopher,Northwestern Europe | Western Europe | German world | Germany
93,Q100730,Johann Anton Trinius,1722.0,theologian | theologian | philosopher | philosopher,Northwestern Europe | Western Europe | German world | Germany
94,Q100735,Adolf Holm,1830.0,historian,Northwestern Europe | Western Europe | German world | Germany
95,Q100753815,Abul Qasim Ibn Ahmad Ibn Abdul Rahman Ibn Muhamma,1029.0,historian | historian,Western Europe | Southwestern Europe | Spain
96,Q100754612,J. Ferdinand Moldenhauer Strecker,1828.0,chemist,Western Europe | Southwestern Europe | Spain
97,Q100755444,Pedro Flores García,1840.0,archeologist,Western Europe | Southwestern Europe | Spain
98,Q1007644,Károly Galgóczy,1823.0,historian | historian | historian | economist | economist | economist,Eastern Europe | Central Europe
99,Q100769,Gustav Adolf Fricke,1822.0,theologian,Northwestern Europe | Western Europe | German world | Germany
100,Q100778,Friedrich Nitzsch,1641.0,mathematician,Northwestern Europe | Western Europe | German world | Germany
101,Q100780,Christian Friedrich Spittler,1782.0,theologian,Northwestern Europe | Western Europe | German world | Switzerland
102,Q1007843,Galántai Fodor Antal,1813.0,botanist,Eastern Europe | Central Europe
103,Q100789,Carl Zittel,1802.0,theologian,Northwestern Europe | Western Europe | German world | Germany
104,Q100793338,Jan Mudran,1647.0,theologian | theologian | philosopher | philosopher,Eastern Europe | Central Europe
105,Q100810,Arnold Mallinckrodt,1768.0,historian,Northwestern Europe | Western Europe | German world | Germany
106,Q100821,Gustav Ferdinand Mehler,1835.0,mathematician,Eastern Europe | Central Europe
