,wikidata_id,name,year,cultural_score,occupation
22454,Q12629547,Daniel Lizars,"(1800, 1850)",0.10107564423160716,cartographer
22455,Q5125932,Clara Angela Macirone,"(1830, 1880)",0.1012318574452349,composer
22456,Q5125932,Clara Angela Macirone,"(1830, 1880)",0.1012318574452349,music pedagogue
22457,Q67400,Johann Georg Rosenhain,"(1830, 1880)",0.10151691558686908,mathematician
22458,Q67400,Johann Georg Rosenhain,"(1830, 1880)",0.10151691558686908,university teacher
22459,Q7345162,Robert Haldane,"(1780, 1830)",0.10064260675085895,mathematician
22460,Q471814,Amint Freising,"(1840, 1890)",0.10027420502698647,music pedagogue
22461,Q101611,Albert von Sack,"(1770, 1820)",0.10048886714857971,explorer
22462,Q669028,David Douglas,"(1810, 1860)",0.10896415344522474,botanist
22463,Q669028,David Douglas,"(1810, 1860)",0.10896415344522474,explorer
22464,Q669028,David Douglas,"(1810, 1860)",0.10896415344522474,ornithologist
22465,Q389064,Murk van Phelsum,"(1740, 1790)",0.10259439211845182,zoologist
22466,Q17125729,Bernt Wilhelm Schenck,"(1810, 1860)",0.10041668408179581,botanist
22467,Q1040071,Karl Philipp Falck,"(1830, 1880)",0.10023441517461801,pharmacologist
22468,Q1432434,Heinrich Schacht,"(1860, 1910)",0.10026675248670744,ornithologist
22469,Q2218809,Samuel Roberts,"(1840, 1890)",0.10122738319523022,mathematician
22470,Q1382171,Evert Jacob van Wachendorff,"(1710, 1760)",0.10010827334433231,chemist
22471,Q1382171,Evert Jacob van Wachendorff,"(1710, 1760)",0.10010827334433231,botanist
22472,Q1382171,Evert Jacob van Wachendorff,"(1710, 1760)",0.10010827334433231,university teacher
22473,Q18624459,Georg Haltmeyer,"(1810, 1860)",0.10018895414192557,naturalist
22474,Q18624459,Georg Haltmeyer,"(1810, 1860)",0.10018895414192557,earth scientist
22475,Q18624459,Georg Haltmeyer,"(1810, 1860)",0.10018895414192557,university teacher
22476,Q1234676,Hermann Zwick,"(1850, 1900)",0.10080498758233225,physicist
22477,Q1234676,Hermann Zwick,"(1850, 1900)",0.10080498758233225,chemist
