,individual_wikidata_id,individual_name,occupations_wikidata_id,occupations_name,occupations_category
0,Q55844134,Ernst von Heeringen,Q16031530,music theorist,science|writer
21,Q2450610,Wojciech Jastrzębowski,Q864503,biologist,science|writer
22,Q2450610,Wojciech Jastrzębowski,Q2374149,botanist,science|writer
26,Q246595,Joseph Smit,Q1225716,ornithologist,science|writer
48,Q23407086,Henry Keyes Jordan,Q520549,geologist,science|writer
55,Q129598,Daniel Coit Gilman,Q901402,geographer,science|writer
58,Q64556048,Jean-Baptiste Fortin,Q1734662,cartographer,artist|science|writer
59,Q64556048,Jean-Baptiste Fortin,Q901402,geographer,science|writer
65,Q22691480,Johannes Michael Budorensis,Q11063,astronomer,science|writer
69,Q19502426,Giuseppe Gatti,Q3621491,archaeologist,science|writer
91,Q28839152,Félix-Henri Boudet,Q593644,chemist,science|writer
94,Q80665311,Alexander de Bie,Q11063,astronomer,science|writer
95,Q80665311,Alexander de Bie,Q170790,mathematician,science|writer
97,Q4027002,Johan Reinhold Sahlberg,Q11900058,explorer,science|writer
98,Q4027002,Johan Reinhold Sahlberg,Q3055126,entomologist,science|writer
106,Q94990676,Jacob Niegowiecki,Q11063,astronomer,science|writer
107,Q94990676,Jacob Niegowiecki,Q170790,mathematician,science|writer
120,Q3742545,Ferdinando Aschieri,Q170790,mathematician,science|writer
123,Q36499945,Alfred Burgerstein,Q350979,zoologist,science|writer
124,Q36499945,Alfred Burgerstein,Q2374149,botanist,science|writer
125,Q36499945,Alfred Burgerstein,Q3055126,entomologist,science|writer
138,Q5793327,Adam Wilhelm Hauch,Q169470,physicist,science|writer
141,Q21513565,Richard Fritze,Q2374149,botanist,science|writer
152,Q98907974,Martin Mikulić,Q1371378,ethnologist,science|writer
153,Q23817860,Richard Lieben,Q188094,economist,science|writer
156,Q38170611,Wilhelm Liebenow,Q294126,land surveyor,science|writer
159,Q3876177,Nicola D'Arienzo,Q16145150,music pedagogue,artist|science|writer
176,Q675,André-Marie Ampère,Q169470,physicist,science|writer
177,Q675,André-Marie Ampère,Q170790,mathematician,science|writer
178,Q675,André-Marie Ampère,Q593644,chemist,science|writer
188,Q230814,Louis Renault,Q1231865,pedagogue,science|writer
193,Q5738046,Thomas Douglas Forsyth,Q11900058,explorer,science|writer
196,Q110059,Theodor Reye,Q170790,mathematician,science|writer
198,Q1881341,Sinan ibn Thabit,Q11063,astronomer,science|writer
199,Q1881341,Sinan ibn Thabit,Q170790,mathematician,science|writer
202,Q28848158,Francesco Protonotari,Q188094,economist,science|writer
210,Q65327,Johann Georg Wagler,Q18805,naturalist,science|writer
211,Q65327,Johann Georg Wagler,Q350979,zoologist,science|writer
212,Q65327,Johann Georg Wagler,Q1225716,ornithologist,science|writer
213,Q65327,Johann Georg Wagler,Q16271064,herpetologist,science|writer
220,Q60819336,Ignaz Obermüller,Q1231865,pedagogue,science|writer
228,Q46996467,Peter Hinrich Tesdorpf,Q18805,naturalist,science|writer
233,Q20933573,Franz Sintenis,Q3055126,entomologist,science|writer
250,Q828603,Bertrand Pelletier,Q593644,chemist,science|writer
258,Q2739611,Albert Auguste Cochon de Lapparent,Q520549,geologist,science|writer
266,Q3767078,Giovanni D'Andrea,Q188094,economist,science|writer
270,Q55845268,Georg Joseph Michael Theodor Nissl,Q1231865,pedagogue,science|writer
276,Q1592441,Perceval de Loriol,Q1662561,paleontologist,science|writer
277,Q1592441,Perceval de Loriol,Q520549,geologist,science|writer
279,Q983482,Náttfari,Q11900058,explorer,science|writer
281,Q15065850,Hans Ehrenfried von Diebitsch und Narden,Q12806039,military theorist,science|writer
284,Q18911728,Henry Francis Walling,Q1734662,cartographer,artist|science|writer
285,Q18911728,Henry Francis Walling,Q294126,land surveyor,science|writer
290,Q5810443,Jørgen Tyge Holm,Q2374149,botanist,science|writer
291,Q5810443,Jørgen Tyge Holm,Q3055126,entomologist,science|writer
300,Q21612564,Charles Fay Wheeler,Q2374149,botanist,science|writer
303,Q2119113,Peter Ivanovich Rychkov,Q901402,geographer,science|writer
304,Q2119113,Peter Ivanovich Rychkov,Q188094,economist,science|writer
308,Q214080,Bartolomé Blumenthal,Q126236,conquistador,science|writer
312,Q55043617,William Henry Harwood,Q3055126,entomologist,science|writer
322,Q6301711,Eric Gustaf af Klint,Q1734662,cartographer,artist|science|writer
326,Q55711481,René Benoît,Q169470,physicist,science|writer
330,Q42404288,Marie-Joseph Monny de Mornay,Q1781198,agronomist,science|writer
342,Q2904416,Pietro Coppo,Q1734662,cartographer,artist|science|writer
343,Q2904416,Pietro Coppo,Q901402,geographer,science|writer
345,Q6280725,Joseph-Étienne Giraud,Q3055126,entomologist,science|writer
348,Q17417866,Carl August von Bose,Q18805,naturalist,science|writer
356,Q19517828,Francois Clément Lafaury,Q350979,zoologist,science|writer
357,Q19517828,Francois Clément Lafaury,Q497294,lepidopterist,science|writer
358,Q18945293,Francesco Giuseppe Gardini,Q169470,physicist,science|writer
360,Q15063599,Konstantin Matwejewitsch Feofilaktow,Q901,scientist,science|writer
373,Q55060936,Carl Ernst Klotz,Q3055126,entomologist,science|writer
394,Q3290537,Margaretta Riley,Q2374149,botanist,science|writer
395,Q3290537,Margaretta Riley,Q16334509,pteridologist,science|writer
401,Q5539685,George Gibbs,Q13416354,mineralogist,science|writer
407,Q94805138,Moritz Rosenstock,Q1231865,pedagogue,science|writer
417,Q16031405,Mary Stafford Anthony,Q1231865,pedagogue,science|writer
446,Q6171726,Jean de Clamorgan,Q1734662,cartographer,artist|science|writer
450,Q55675494,Hugo von Schoder,Q294126,land surveyor,science|writer
470,Q4279350,Ivan Malyshevsky,Q901,scientist,science|writer
473,Q88832546,John Whitehead,Q2374149,botanist,science|writer
476,Q77551,Carl Engler,Q593644,chemist,science|writer
478,Q929237,Lucas González,Q188094,economist,science|writer
490,Q2699503,Jacob Metius,Q11063,astronomer,science|writer
500,Q289217,Étienne-Jules Marey,Q2055046,physiologist,science|writer
506,Q1680342,James Elton,Q11900058,explorer,science|writer
528,Q4498935,Johann Peter Heuschkel,Q16145150,music pedagogue,artist|science|writer
531,Q95288617,Ernst Seiffert,Q1231865,pedagogue,science|writer
541,Q7410983,Samuel Brewer,Q2374149,botanist,science|writer
542,Q55901235,Karl Daniel Turte,Q18805,naturalist,science|writer
558,Q94789010,Wilhelm Eduard Fuss,Q593644,chemist,science|writer
564,Q18655771,Andrew Augustus Henderson,Q2374149,botanist,science|writer
567,Q55067738,Christian Erich Herrmann von Meyer,Q1662561,paleontologist,science|writer
568,Q55067738,Christian Erich Herrmann von Meyer,Q520549,geologist,science|writer
569,Q55067738,Christian Erich Herrmann von Meyer,Q3055126,entomologist,science|writer
571,Q349372,Adam František Kollár,Q1371378,ethnologist,science|writer
580,Q21384867,George Sutherland Mackenzie,Q11900058,explorer,science|writer
592,Q575253,John Miers,Q2374149,botanist,science|writer
596,Q95264960,Augustin Hölscher,Q1231865,pedagogue,science|writer
602,Q9259638,Filip Neriusz Walter,Q593644,chemist,science|writer
606,Q9370452,Walerian Stroynowski,Q188094,economist,science|writer
612,Q6752616,Manuel Gregorio Tavárez,Q16145150,music pedagogue,artist|science|writer
614,Q18759373,Peter Reid,Q1231865,pedagogue,science|writer
624,Q1712751,Julius Kniese,Q16145150,music pedagogue,artist|science|writer
625,Q123888,Arnold Escher von der Linth,Q520549,geologist,science|writer
628,Q18821876,Searles Valentine Wood,Q520549,geologist,science|writer
630,Q5082048,Charles Ridgely,Q18576582,metallurgist,science|writer
634,Q541643,Pierre-Gaspard Chaumette,Q2374149,botanist,science|writer
637,Q15446771,Pieter Johannes Uylenbroek,Q11063,astronomer,science|writer
638,Q15446771,Pieter Johannes Uylenbroek,Q169470,physicist,science|writer
639,Q15446771,Pieter Johannes Uylenbroek,Q170790,mathematician,science|writer
642,Q109855666,Ernest Brelay,Q188094,economist,science|writer
645,Q875594,Imre Csécsi,Q13416354,mineralogist,science|writer
652,Q60842565,Johannes Fautsch,Q18805,naturalist,science|writer
660,Q5928692,Jean Daniel Buchinger,Q2374149,botanist,science|writer
661,Q22017374,William Elwood Byerly,Q170790,mathematician,science|writer
664,Q3430500,Richard Baron,Q2374149,botanist,science|writer
665,Q3430500,Richard Baron,Q520549,geologist,science|writer
666,Q3830713,Leopoldo Pilla,Q520549,geologist,science|writer
672,Q6793829,Mauritz Gisiko,Q16145150,music pedagogue,artist|science|writer
691,Q4450823,Julius Brenchley,Q350979,zoologist,science|writer
692,Q4450823,Julius Brenchley,Q11900058,explorer,science|writer
695,Q4757150,Andrew Graham,Q18805,naturalist,science|writer
701,Q101094645,Maximilien Dugniolle,Q2374149,botanist,science|writer
707,Q13414858,Karl Joseph Kreutzer,Q2374149,botanist,science|writer
710,Q90099,Johann Wilhelm von Müller,Q1225716,ornithologist,science|writer
713,Q21539663,James Thomas Allan,Q11900058,explorer,science|writer
723,Q15720386,Alexander Prugavin,Q901,scientist,science|writer
726,Q21340911,George Voorhelm Schneevoogt,Q2374149,botanist,science|writer
732,Q7412394,Samuel Philip Sadtler,Q593644,chemist,science|writer
735,Q2062176,Ivan Kupreyanov,Q11900058,explorer,science|writer
736,Q16488716,Aleksey Artemyev,Q901,scientist,science|writer
737,Q11908982,Benito Viñes,Q2310145,meteorologist,science|writer
754,Q109348045,James B. Olcott,Q1781198,agronomist,science|writer
765,Q24067158,Abe Tametō,Q18805,naturalist,science|writer
769,Q27827642,John Gordon,Q10872101,anatomist,science|writer
774,Q1356212,Napoléon Henri Reber,Q16145150,music pedagogue,artist|science|writer
775,Q1356212,Napoléon Henri Reber,Q16031530,music theorist,science|writer
777,Q95175099,František Bohdan Kalina,Q1231865,pedagogue,science|writer
785,Q71056,Adolf Pinner,Q593644,chemist,science|writer
799,Q94788663,Carl Haase,Q11063,astronomer,science|writer
801,Q11333664,Francis Henry Trevithick,Q901,scientist,science|writer
809,Q3390785,Placide Massey,Q2374149,botanist,science|writer
827,Q1706368,Joseph Dutens,Q188094,economist,science|writer
835,Q97544,Julius Hey,Q16145150,music pedagogue,artist|science|writer
836,Q97544,Julius Hey,Q16031530,music theorist,science|writer
849,Q1620013,Hippolyte-Raymond Colet,Q16145150,music pedagogue,artist|science|writer
857,Q3093580,Gabriel Alcippe Mahistre,Q169470,physicist,science|writer
858,Q3093580,Gabriel Alcippe Mahistre,Q170790,mathematician,science|writer
860,Q60120457,Gustav Joseph,Q3055126,entomologist,science|writer
861,Q16043820,Henry Beaumont Small,Q18805,naturalist,science|writer
888,Q9374800,William B. Neftel,Q783906,neurologist,science|writer
889,Q6104126,J.J.I. Alcide de Paladilhe,Q350979,zoologist,science|writer
890,Q6104126,J.J.I. Alcide de Paladilhe,Q16271261,malacologist,science|writer
898,Q3446124,John Cary,Q1734662,cartographer,artist|science|writer
910,Q55070163,Bjarne Pálsson,Q3055126,entomologist,science|writer
918,Q1470191,József Árvay,Q1231865,pedagogue,science|writer
921,Q15845607,Antonio Vassalli Eandi,Q169470,physicist,science|writer
922,Q15845607,Antonio Vassalli Eandi,Q170790,mathematician,science|writer
923,Q15845607,Antonio Vassalli Eandi,Q3055126,entomologist,science|writer
929,Q643765,Christian Friedrich Ecklon,Q2374149,botanist,science|writer
930,Q643765,Christian Friedrich Ecklon,Q11900058,explorer,science|writer
931,Q643765,Christian Friedrich Ecklon,Q3055126,entomologist,science|writer
936,Q1251266,François Perrier,Q901402,geographer,science|writer
937,Q1251266,François Perrier,Q294126,land surveyor,science|writer
938,Q21387509,Carl Heinrich Wilhelm Theodore Löbbecke,Q16271261,malacologist,science|writer
967,Q1037905,Carl Fredrik Nyman,Q2374149,botanist,science|writer
969,Q95222132,Jos... G... Friedrich Pflüger,Q1231865,pedagogue,science|writer
978,Q55853433,Albert Wilhelm Kindler,Q1231865,pedagogue,science|writer
993,Q30066269,Hans Chrystie,Q3303297,ironmaster,science|writer
997,Q2600702,Tsuda Sen,Q1781198,agronomist,science|writer
1001,Q5537732,George Cartwright,Q11900058,explorer,science|writer
1013,Q5479216,Francesco Bertelli,Q11063,astronomer,science|writer
1014,Q5932997,John Traherne Moggridge,Q2374149,botanist,science|writer
1015,Q5932997,John Traherne Moggridge,Q3055126,entomologist,science|writer
1016,Q5932997,John Traherne Moggridge,Q17344952,arachnologist,science|writer
1017,Q23585420,Kirk Duncanson,Q2374149,botanist,science|writer
1043,Q17516066,Thomas Fantet de Lagny,Q170790,mathematician,science|writer
1047,Q114078,Johann Wiesbaur,Q2374149,botanist,science|writer
1050,Q18518805,George Ura,Q520549,geologist,science|writer
1051,Q18518805,George Ura,Q11900058,explorer,science|writer
1053,Q75277,Paul Clemens von Baumgarten,Q864503,biologist,science|writer
1071,Q1298556,Márton Szilágyi Tönkö,Q1231865,pedagogue,science|writer
1096,Q55900628,Carl Wilhelm Christian von Türck,Q1231865,pedagogue,science|writer
1101,Q18984985,J.G. Goldmann,Q2374149,botanist,science|writer
1110,Q3659044,Carlo Barletti,Q169470,physicist,science|writer
1113,Q18238178,Erik Collinder,Q2374149,botanist,science|writer
1118,Q112028276,Gribovitj-Bresjinskij Stepan Grigorovitj,Q16145150,music pedagogue,artist|science|writer
1119,Q112117265,Richard William Banks,Q520549,geologist,science|writer
1120,Q112117265,Richard William Banks,Q3621491,archaeologist,science|writer
1123,Q2344404,Jan Latosz,Q11063,astronomer,science|writer
1126,Q12805209,Valentin Supan,Q188094,economist,science|writer
1129,Q22920755,Georg Joseph Sidler,Q11063,astronomer,science|writer
1130,Q22920755,Georg Joseph Sidler,Q170790,mathematician,science|writer
1137,Q70646,Johann Wilhelm Weinmann,Q2374149,botanist,science|writer
1141,Q746534,Józef Dietl,Q1231865,pedagogue,science|writer
1145,Q1695378,John Lewis Tiarks,Q11063,astronomer,science|writer
1148,Q971763,Jean Joseph Tranchot,Q1734662,cartographer,artist|science|writer
1149,Q971763,Jean Joseph Tranchot,Q901402,geographer,science|writer
1151,Q58011455,Karl von Rambaldi,Q901,scientist,science|writer
1152,Q22211556,Antoine Horner,Q11900058,explorer,science|writer
1158,Q4397362,Jan Nepomucen Romanowski,Q901,scientist,science|writer
1185,Q964809,Sava Popovici Barcianu,Q1231865,pedagogue,science|writer
1187,Q8300411,Joseph Guérin,Q2310145,meteorologist,science|writer
1188,Q23001739,Angelo Remedi,Q3621491,archaeologist,science|writer
1194,Q55193377,Johann Friedrich Stockhausen,Q170790,mathematician,science|writer
1224,Q1948108,Moritz von Ebner-Eschenbach,Q169470,physicist,science|writer
1225,Q1948108,Moritz von Ebner-Eschenbach,Q593644,chemist,science|writer
1228,Q297515,Pomponius Mela,Q901402,geographer,science|writer
1233,Q325016,George Howard Darwin,Q11063,astronomer,science|writer
1234,Q325016,George Howard Darwin,Q170790,mathematician,science|writer
1258,Q23210605,Julius Dub,Q169470,physicist,science|writer
1264,Q51088,Antonio Salieri,Q16145150,music pedagogue,artist|science|writer
1265,Q51088,Antonio Salieri,Q1231865,pedagogue,science|writer
1271,Q3382852,Pierre-Antoine Mougin,Q11063,astronomer,science|writer
1275,Q94852592,Robert Gross,Q1231865,pedagogue,science|writer
1286,Q18559910,William Davis,Q170790,mathematician,science|writer
1306,Q1702968,Jonas Jonsson Stadling,Q11900058,explorer,science|writer
1307,Q5724275,Henry Kendall,Q1225716,ornithologist,science|writer
1322,Q1425203,Tommy Windich,Q11900058,explorer,science|writer
1337,Q990874,Ernest de Sarzec,Q4773904,anthropologist,science|writer
1338,Q990874,Ernest de Sarzec,Q3621491,archaeologist,science|writer
1352,Q96384140,James Magee,Q11900058,explorer,science|writer
1353,Q96384140,James Magee,Q1937330,world traveler,science|writer
1364,Q55126358,Johann Baptist Anton Schmitt,Q21244999,forestry scientist,science|writer
1373,Q1080220,Christian Heinrich Siegel,Q170790,mathematician,science|writer
1384,Q19975478,George Young,Q294126,land surveyor,science|writer
1389,Q21523222,Albert Nelson Prentiss,Q2374149,botanist,science|writer
1393,Q69676,Gustav Schreck,Q16145150,music pedagogue,artist|science|writer
1396,Q3175511,Jean de la Roque,Q11900058,explorer,science|writer
1398,Q450757,Nevil Maskelyne,Q11063,astronomer,science|writer
1399,Q450757,Nevil Maskelyne,Q170790,mathematician,science|writer
1403,Q2223153,Jacob Oostwoud,Q1734662,cartographer,artist|science|writer
1404,Q2223153,Jacob Oostwoud,Q170790,mathematician,science|writer
1420,Q5491769,Franklin R. Carpenter,Q520549,geologist,science|writer
1422,Q17030818,Xiang Mingda,Q170790,mathematician,science|writer
1426,Q3750226,Francesco Maria Gianni,Q188094,economist,science|writer
1440,Q1419387,Paul-Gustave Froment,Q6804564,mechanician,science|writer
1443,Q46522971,Urbano Monti,Q1734662,cartographer,artist|science|writer
1444,Q46522971,Urbano Monti,Q901402,geographer,science|writer
1452,Q6198071,Emil Svensén,Q15994177,political theorist,science|writer
1459,Q104813284,John Collett,Q520549,geologist,science|writer
1463,Q77500,Max Noether,Q170790,mathematician,science|writer
1466,Q21030857,Johannes Rath,Q11900058,explorer,science|writer
1467,Q17364083,Max Thomas Edelmann,Q169470,physicist,science|writer
1483,Q20734693,William Pamplin,Q2374149,botanist,science|writer
1484,Q4865481,Susan Fenimore Cooper,Q18805,naturalist,science|writer
1491,Q1692957,Johann Mahr,Q520549,geologist,science|writer
1498,Q298071,Hippodamus of Miletus,Q170790,mathematician,science|writer
1499,Q298071,Hippodamus of Miletus,Q131062,urban planner,science|writer
1506,Q19976660,Bernhard Kothe,Q1231865,pedagogue,science|writer
1509,Q90667,Karl Marlo,Q188094,economist,science|writer
1513,Q1668570,Michael Deffner,Q3621491,archaeologist,science|writer
1546,Q833886,Richard Payne Knight,Q4773904,anthropologist,science|writer
1547,Q833886,Richard Payne Knight,Q3621491,archaeologist,science|writer
1557,Q2758638,Filip Hristić,Q188094,economist,science|writer
1580,Q558727,Harkhuf,Q11900058,explorer,science|writer
1589,Q122572,Benedictus Aretius,Q2374149,botanist,science|writer
1601,Q3320935,Valentin de Foronda,Q188094,economist,science|writer
1610,Q55894156,Philippe Plantamour,Q169470,physicist,science|writer
1611,Q55894156,Philippe Plantamour,Q593644,chemist,science|writer
1612,Q545045,Jacques-Joseph Champollion,Q4773904,anthropologist,science|writer
1613,Q545045,Jacques-Joseph Champollion,Q3621491,archaeologist,science|writer
1614,Q545045,Jacques-Joseph Champollion,Q1350189,egyptologist,science|writer
1626,Q15060966,Alexander Stukenberg,Q520549,geologist,science|writer
1627,Q3292880,Marie de Brimeu,Q2374149,botanist,science|writer
1642,Q4057349,Clement Adams,Q1734662,cartographer,artist|science|writer
1651,Q18936233,Richard Davis,Q1734662,cartographer,artist|science|writer
1658,Q999471,Jean Baptiste Le Roy,Q169470,physicist,science|writer
1659,Q999471,Jean Baptiste Le Roy,Q593644,chemist,science|writer
1665,Q41557833,Lattanzio Agucchia,Q170790,mathematician,science|writer
1666,Q21516511,Richard Howse,Q2374149,botanist,science|writer
1667,Q21516511,Richard Howse,Q3055126,entomologist,science|writer
1669,Q201221,Alexander Ivanovich Herzen,Q1231865,pedagogue,science|writer
1676,Q3770076,Giuseppe Battaglini,Q170790,mathematician,science|writer
1680,Q12768446,Ján Egry,Q16145150,music pedagogue,artist|science|writer
1685,Q1238385,Alfred Biliotti,Q4773904,anthropologist,science|writer
1686,Q1238385,Alfred Biliotti,Q3621491,archaeologist,science|writer
1695,Q333419,Luther Burbank,Q3140857,horticulturist,science|writer
1696,Q333419,Luther Burbank,Q2374149,botanist,science|writer
1697,Q333419,Luther Burbank,Q3126128,geneticist,science|writer
1710,Q553795,Sébastien Bourdon,Q17391638,art theorist,science|writer
1711,Q4786212,Archibald Bell Jr.,Q11900058,explorer,science|writer
1719,Q5711545,Olof Eneroth,Q28319434,pomologist,science|writer
1721,Q17985543,Thomas Andrews,Q593644,chemist,science|writer
1722,Q17985543,Thomas Andrews,Q18576582,metallurgist,science|writer
1723,Q17985543,Thomas Andrews,Q3303297,ironmaster,science|writer
1724,Q55883840,Felix von Freissauff-Neudegg,Q11063,astronomer,science|writer
1725,Q55883840,Felix von Freissauff-Neudegg,Q170790,mathematician,science|writer
1732,Q21522762,Anna Pehersdorfer,Q2374149,botanist,science|writer
1733,Q60623156,Wenzel Bernatzik,Q593644,chemist,science|writer
1737,Q98276759,Karol Rozalski,Q1231865,pedagogue,science|writer
1746,Q918587,William Froude,Q169470,physicist,science|writer
1751,Q43993073,Francisco Menéndez,Q11900058,explorer,science|writer
1765,Q3754996,Juan Iturralde y Suit,Q3621491,archaeologist,science|writer
1768,Q283881,Friedrich Schmidt,Q1662561,paleontologist,science|writer
1769,Q283881,Friedrich Schmidt,Q2374149,botanist,science|writer
1770,Q283881,Friedrich Schmidt,Q520549,geologist,science|writer
1797,Q20863084,James Henry Blake,Q350979,zoologist,science|writer
1798,Q20863084,James Henry Blake,Q16271261,malacologist,science|writer
1801,Q10897757,Liu Hong,Q11063,astronomer,science|writer
1802,Q10897757,Liu Hong,Q170790,mathematician,science|writer
1818,Q947485,"Victor de Riqueti, marquis de Mirabeau",Q188094,economist,science|writer
1822,Q85232201,Johann Daniel Grimm,Q16031530,music theorist,science|writer
1823,Q357620,Alonso de Ercilla,Q11900058,explorer,science|writer
1827,Q20477937,Bonifác Ferenc Platz,Q864503,biologist,science|writer
1864,Q1947914,Moritz Füldner,Q2374149,botanist,science|writer
1865,Q1947914,Moritz Füldner,Q3055126,entomologist,science|writer
1867,Q1166908,Horace Mann Junior,Q2374149,botanist,science|writer
1868,Q1166908,Horace Mann Junior,Q2487799,mycologist,science|writer
1869,Q5589498,Jan Adolph Budde,Q1781198,agronomist,science|writer
1888,Q18945204,Domenico Griminelli,Q170790,mathematician,science|writer
1892,Q51884805,Carmelo Mancini,Q3621491,archaeologist,science|writer
1931,Q213579,Ernst Chladni,Q11063,astronomer,science|writer
1932,Q213579,Ernst Chladni,Q169470,physicist,science|writer
1933,Q213579,Ernst Chladni,Q170790,mathematician,science|writer
1934,Q213579,Ernst Chladni,Q520549,geologist,science|writer
1941,Q3130848,Henri Cochon de Lapparent,Q1781198,agronomist,science|writer
1968,Q11835,Manuel Dias,Q11063,astronomer,science|writer
1969,Q11835,Manuel Dias,Q11900058,explorer,science|writer
2003,Q15845434,Jules Alexandre Alphonse Meugy,Q520549,geologist,science|writer
2007,Q21177524,Elisabeth Bardwell,Q11063,astronomer,science|writer
2019,Q8011998,William Henry Gilder,Q11900058,explorer,science|writer
2020,Q11851314,Anders Johan Adolf Boxström,Q2732142,statistician,science|writer
2037,Q1964739,Louis Jérôme Reiche,Q3055126,entomologist,science|writer
2052,Q8018577,William Smyth,Q170790,mathematician,science|writer
2061,Q3271478,Léonard Baldner,Q18805,naturalist,science|writer
2062,Q985731,Xu Jingzong,Q1734662,cartographer,artist|science|writer
2070,Q21612830,(Wilhelm) William Winkler,Q2374149,botanist,science|writer
2074,Q110293157,Alexis César Bonamy,Q294126,land surveyor,science|writer
2077,Q3383483,Pierre Philippe Thomire,Q2926103,brazier,artist|science|writer
2082,Q5274853,Diego de Alvear y Ponce de León,Q901402,geographer,science|writer
2101,Q11730372,Józef Hussarzewski,Q11900058,explorer,science|writer
2105,Q5830195,Elías Bedoya,Q188094,economist,science|writer
2120,Q95267494,Max Schrattenholz,Q1231865,pedagogue,science|writer
2124,Q1573439,Johann Andreas Cramer,Q18576582,metallurgist,science|writer
2136,Q110737418,Carl Henrik Wegelin,Q3303297,ironmaster,science|writer
2141,Q18626310,Johann Christoph Hurter,Q1734662,cartographer,artist|science|writer
2145,Q20830517,Marcin Ośliński,Q901,scientist,science|writer
2151,Q4289162,Otis Tufton Mason,Q4773904,anthropologist,science|writer
2160,Q298860,Hippasus,Q170790,mathematician,science|writer
2161,Q298860,Hippasus,Q16031530,music theorist,science|writer
2164,Q1405128,Eustachio Divini,Q11063,astronomer,science|writer
2165,Q94840288,David Asher,Q1231865,pedagogue,science|writer
2167,Q503586,Andrew Ainslie Common,Q11063,astronomer,science|writer
2170,Q3379227,Philippe André de Vilmorin,Q3140857,horticulturist,science|writer
2171,Q3379227,Philippe André de Vilmorin,Q2374149,botanist,science|writer
2172,Q3379227,Philippe André de Vilmorin,Q3126128,geneticist,science|writer
2174,Q111261118,John Robie Eastman,Q11063,astronomer,science|writer
2180,Q55090277,Richard Georg Kersting,Q593644,chemist,science|writer
2195,Q3121359,Gustave d'Eichthal,Q901402,geographer,science|writer
2196,Q3121359,Gustave d'Eichthal,Q1371378,ethnologist,science|writer
2197,Q3121359,Gustave d'Eichthal,Q15994177,political theorist,science|writer
2200,Q14663696,Pierre François van Heerdt,Q2310145,meteorologist,science|writer
2214,Q1359736,Ernst Perabo,Q16145150,music pedagogue,artist|science|writer
2219,Q104286713,Edgar Chichester Jones,Q294126,land surveyor,science|writer
2220,Q8015983,William Mynors,Q11900058,explorer,science|writer
2221,Q484199,Sidi Mubarak Bombay,Q11900058,explorer,science|writer
2224,Q5581969,Gabriel von Bonsdorff,Q350979,zoologist,science|writer
2225,Q5581969,Gabriel von Bonsdorff,Q10872101,anatomist,science|writer
2226,Q5581969,Gabriel von Bonsdorff,Q3055126,entomologist,science|writer
2228,Q16210651,Robert Harcourt,Q11900058,explorer,science|writer
2230,Q55626112,Josef Šeda,Q3055126,entomologist,science|writer
2236,Q7411650,Samuel Haven,Q4773904,anthropologist,science|writer
2237,Q7411650,Samuel Haven,Q3621491,archaeologist,science|writer
2241,Q21518468,(Alexandre Alexis) George Le Monnier,Q2374149,botanist,science|writer
2249,Q4312292,Nikolay Nazimov,Q11900058,explorer,science|writer
2250,Q94854817,Friedrich Eisele,Q1231865,pedagogue,science|writer
2253,Q323448,Abraham Abulafia,Q901,scientist,science|writer
2258,Q95751189,Henriette Leidesdorf,Q1231865,pedagogue,science|writer
2262,Q26708126,Claude Bourdelin,Q593644,chemist,science|writer
2265,Q55031635,Mary-Louis Fauconnet,Q3055126,entomologist,science|writer
2273,Q106185492,Bengt von Hofsten,Q3303297,ironmaster,science|writer
2276,Q95149336,Josef Mertlík,Q1231865,pedagogue,science|writer
2279,Q494264,Frederick DuCane Godman,Q350979,zoologist,science|writer
2280,Q494264,Frederick DuCane Godman,Q2374149,botanist,science|writer
2281,Q494264,Frederick DuCane Godman,Q11900058,explorer,science|writer
2282,Q494264,Frederick DuCane Godman,Q1225716,ornithologist,science|writer
2283,Q494264,Frederick DuCane Godman,Q3055126,entomologist,science|writer
2284,Q494264,Frederick DuCane Godman,Q497294,lepidopterist,science|writer
2304,Q21130789,Tomáš Baltazar Janovka,Q16031530,music theorist,science|writer
2315,Q1227582,Charles Tulasne,Q2374149,botanist,science|writer
2316,Q1227582,Charles Tulasne,Q2487799,mycologist,science|writer
2317,Q3052552,Emmanuel Baillon,Q18805,naturalist,science|writer
2330,Q1539327,Mikkel Pederssøn Escholt,Q520549,geologist,science|writer
2347,Q585764,Antoine Brun-Rollet,Q11900058,explorer,science|writer
2349,Q1442333,Johannes Franciscus Van Sterbeeck,Q2374149,botanist,science|writer
2350,Q1442333,Johannes Franciscus Van Sterbeeck,Q2487799,mycologist,science|writer
2355,Q1237477,Domingo Bello y Espinosa,Q2374149,botanist,science|writer
2377,Q42907774,Ioan Stravolca,Q169470,physicist,science|writer
2381,Q16128485,Þorbjörn Vífilsson,Q11900058,explorer,science|writer
2382,Q104710,Jacob Struve,Q170790,mathematician,science|writer
2390,Q4769244,Annie Bidwell,Q2374149,botanist,science|writer
2419,Q6239342,John Hind,Q170790,mathematician,science|writer
2424,Q42297094,Arthur Chervin,Q2055046,physiologist,science|writer
2425,Q42297094,Arthur Chervin,Q4773904,anthropologist,science|writer
2447,Q60622,Georg August Goldfuss,Q864503,biologist,science|writer
2448,Q60622,Georg August Goldfuss,Q350979,zoologist,science|writer
2449,Q60622,Georg August Goldfuss,Q1662561,paleontologist,science|writer
