,individual_wikidata_id,individual_name,occupations_wikidata_id,occupations_name,occupations_category
114658,Q16859158,Charles Meymott Tidy,Q901,scientist,science|writer
114659,Q16859158,Charles Meymott Tidy,Q593644,chemist,science|writer
114671,Q6203671,Hugo Tamm,Q3303297,ironmaster,science|writer
114680,Q1730688,Karl Daniel Reusch,Q169470,physicist,science|writer
114684,Q55070357,Manuel Paulino de Oliveira,Q3055126,entomologist,science|writer
114688,Q65505,Friedrich Albert von Zenker,Q2374149,botanist,science|writer
114689,Q65505,Friedrich Albert von Zenker,Q10872101,anatomist,science|writer
114690,Q65505,Friedrich Albert von Zenker,Q15924544,lichenologist,science|writer
114707,Q55123219,Wilhelm Bernhard Mönnich,Q1231865,pedagogue,science|writer
114711,Q4424246,Timofej Andreevich Smelovskij,Q2374149,botanist,science|writer
114715,Q17638293,Paolo Principato,Q170790,mathematician,science|writer
114733,Q16110451,Petar Matković,Q901402,geographer,science|writer
114738,Q63334254,Louis François Joseph Alhoy,Q1231865,pedagogue,science|writer
114744,Q69836049,John Cruickshank,Q170790,mathematician,science|writer
114745,Q50383876,Joël Matile,Q294126,land surveyor,science|writer
114749,Q347305,Adalbert Dungel,Q1231865,pedagogue,science|writer
114753,Q55074219,Josef Wolf,Q3055126,entomologist,science|writer
114755,Q55017197,Giovanni Antonio Bianconi,Q3055126,entomologist,science|writer
114761,Q971972,Pierre Chouteau Jr.,Q937283,pioneer,science|writer
114770,Q381305,Jean de Beaugrand,Q170790,mathematician,science|writer
114773,Q94901672,Theodor Thele,Q1231865,pedagogue,science|writer
114781,Q3313574,Antonio Zatta,Q1734662,cartographer,artist|science|writer
114786,Q21607168,Angelo Maria Ricci,Q2374149,botanist,science|writer
114797,Q21539685,William Wilkins,Q1231865,pedagogue,science|writer
114800,Q5717133,Henry Adrian Churchill,Q4773904,anthropologist,science|writer
114801,Q5717133,Henry Adrian Churchill,Q3621491,archaeologist,science|writer
114811,Q713256,Holger Simon Paulli,Q16145150,music pedagogue,artist|science|writer
114813,Q75135700,Georg Roth,Q170790,mathematician,science|writer
114818,Q2071106,Joseph Vézina,Q16145150,music pedagogue,artist|science|writer
114821,Q373930,Carl Christian Rafn,Q11900058,explorer,science|writer
114822,Q373930,Carl Christian Rafn,Q3621491,archaeologist,science|writer
114823,Q373930,Carl Christian Rafn,Q17488316,prehistorian,science|writer
114826,Q111660206,Hermann Degenkolb,Q3140857,horticulturist,science|writer
114839,Q1128570,Ábrahám Lederer,Q1231865,pedagogue,science|writer
114850,Q888258,Dimitrie Brândză,Q864503,biologist,science|writer
114851,Q888258,Dimitrie Brândză,Q2374149,botanist,science|writer
114856,Q55901131,Wladimir Afanasiawitsch Karawaiew,Q350979,zoologist,science|writer
114862,Q6076851,Isaac Nathan,Q16145150,music pedagogue,artist|science|writer
