,meta_occupation,community
0,zoologist,0
1,botanist,0
2,geologist,0
3,paleontologist,0
4,anatomist,0
17,chemist,0
18,pharmacologist,0
10,taxonomist,0
24,geneticist,0
26,ecologist,0
16,physicist,1
21,meteorologist,1
22,logician,1
25,epidemiologist,1
8,astronomer,1
7,philosopher,1
6,mathematician,1
5,theologian,1
23,geographer,1
20,musicologist,1
13,anthropologist,2
15,linguist,2
14,political scientist,2
12,economist,2
11,sociologist,2
9,historian,2
19,archeologist,2
27,art theorist,2
