,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
10003,Q6097639,Ivan Tomko Mrnavić,re_german_world,German world,1580.0,historian,europe
10004,Q110954420,Mr. Salomon Davidssoon van Dulmanhorst,re_low_countries,Low countries,1555.0,geographer,europe
10013,Q62607241,Johannes Ammann,re_german_world,German world,1695.0,geographer,europe
10014,Q3014743,Daniel Tilenus,re_france,France,1563.0,theologian,europe
10020,Q925443,Niels Aagaard,re_nordic_countries,Nordic countries,1612.0,theologian | philosopher,europe
10022,Q310777,Nicole Oresme,re_france,France,1323.0,philosopher | physicist | astronomer | musicologist | mathematician | theologian | economist,europe
10023,Q27070471,Antoine de La Faye,re_france,France,1540.0,theologian,europe
10025,Q55876001,Liévin van Brecht,re_low_countries,Low countries,1515.0,theologian,europe
10026,Q109244,Adam of Bremen,re_german_world,German world,1100.0,theologian | geographer | historian,europe
10027,Q108278,Michael Praetorius,re_german_world,German world,1571.0,musicologist,europe
10029,Q3386434,Pierre Nicolas Desmolets,re_france,France,1678.0,historian,europe
10037,Q1450999,François Descurain,re_france,France,1658.0,botanist,europe
10040,Q6353,Gerardus Mercator,re_german_world,German world,1512.0,theologian | geographer | philosopher | mathematician,europe
10043,Q380647,Giles of Rome,re_france,France,1243.0,philosopher,europe
10050,Q5577683,Isak Björklund,re_nordic_countries,Nordic countries,1686.0,theologian,europe
10051,Q3875830,Niccolò Balbani,re_france,France,1522.0,theologian,europe
10053,Q55857462,Abraham Musculus,re_german_world,German world,1534.0,theologian,europe
10057,Q497554,Christoph Demantius,re_german_world,German world,1567.0,musicologist,europe
10066,Q1278935,Eberhard David Hauber,re_nordic_countries,Nordic countries,1695.0,theologian,europe
10080,Q3383965,Pierre Bertrand,re_france,France,1280.0,theologian,europe
10081,Q1429323,Paul Crusius,re_german_world,German world,1525.0,theologian | astronomer | historian | mathematician,europe
10084,Q19936339,Elizej Sargar,re_german_world,German world,1625.0,theologian | philosopher,europe
10086,Q1349327,Erdmann Rudolph Fischer,re_german_world,German world,1687.0,theologian,europe
10088,Q55674069,Simon Illingius,re_german_world,German world,1577.0,theologian,europe
10089,Q15446447,Johann David Gschwend,re_german_world,German world,1691.0,historian,europe
10091,Q975608,Johann Andreas Danz,re_german_world,German world,1654.0,theologian,europe
10092,Q825449,Bernhard Kohlreif,re_german_world,German world,1605.0,theologian,europe
10094,Q5564030,Giovanni de Galliano Pieroni,re_german_world,German world,1586.0,astronomer | mathematician,europe
10096,Q1309947,Paul Mathesius,re_german_world,German world,1548.0,theologian,europe
10097,Q76182,Kaspar von Barth,re_german_world,German world,1587.0,linguist,europe
10112,Q1224097,Dietrich Westhof,re_german_world,German world,1509.0,historian,europe
10116,Q522982,Guðbrandur Þorláksson,re_nordic_countries,Nordic countries,1542.0,mathematician,europe
10118,Q3180723,Johannes Bredenburg,re_low_countries,Low countries,1643.0,philosopher,europe
10120,Q19958969,Heinrich von Berching,re_german_world,German world,1355.0,theologian,europe
10121,Q3173118,Jean Lebeuf,re_france,France,1687.0,historian,europe
10124,Q1526408,Johann Böschenstein,re_german_world,German world,1472.0,mathematician,europe
10126,Q654858,Paschasius Radbertus,re_france,France,792.0,theologian,europe
10128,Q325341,Friedrich Spanheim the Younger,re_low_countries,Low countries,1632.0,theologian,europe
10129,Q1605469,Henning Flügge,re_german_world,German world,1683.0,theologian,europe
10131,Q2010807,Balthasar de Ayala,re_low_countries,Low countries,1548.0,philosopher,europe
10132,Q1694454,Johann Heinrich Meister,re_german_world,German world,1700.0,theologian,europe
10133,Q120648,Joachim Slüter,re_german_world,German world,1490.0,theologian,europe
10134,Q2067100,Adrianus Barlandus,re_low_countries,Low countries,1486.0,philosopher | historian,europe
10135,Q26690109,Antoine François de Laval,re_france,France,1664.0,astronomer,europe
10140,Q68490,Hermann of Reichenau,re_german_world,German world,1013.0,musicologist | astronomer | historian | mathematician,europe
10141,Q71606,Georg Fabricius,re_german_world,German world,1516.0,archeologist | historian,europe
10147,Q2062816,Paul Trenckmann,re_german_world,German world,1676.0,geographer,europe
10148,Q1696422,Johann Ulrich Pregizer I,re_german_world,German world,1577.0,theologian,europe
10155,Q1260285,Johann Heinrich Ringier,re_german_world,German world,1668.0,theologian,europe
10160,Q13646361,Govaert Maartensz Oostwoud,re_low_countries,Low countries,1671.0,geographer,europe
10166,Q3553591,Valentin Mennher,re_low_countries,Low countries,1520.0,mathematician,europe
10168,Q118632,Johann Jakob Wick,re_german_world,German world,1522.0,theologian,europe
10171,Q180026,Petrus de Cruce,re_france,France,1300.0,musicologist,europe
10176,Q94943587,Wolfgang Christoph Fürst,re_german_world,German world,1668.0,theologian,europe
10181,Q77394,Adalbert,re_german_world,German world,910.0,historian,europe
10185,Q1708854,Josua Schwartz,re_german_world,German world,1632.0,theologian,europe
10187,Q116363,Oswald Myconius,re_german_world,German world,1488.0,theologian,europe
10189,Q60832028,Johannes Corfinius,re_german_world,German world,1616.0,theologian,europe
10190,Q1497608,Johann Jacob Spreng,re_german_world,German world,1699.0,theologian | historian,europe
10199,Q696950,Arnoldus Montanus,re_low_countries,Low countries,1625.0,theologian | geographer | philosopher | historian,europe
10200,Q1539583,Gottfried Raesfeld,re_german_world,German world,1522.0,theologian,europe
10201,Q55122525,Konrad Heinrich Barckhausen,re_german_world,German world,1700.0,theologian,europe
10205,Q3092096,Guy Alexis Lobineau,re_france,France,1667.0,historian,europe
10206,Q1259554,Johannes Meilof,re_german_world,German world,1435.0,theologian,europe
10210,Q21043151,Juan de Alcega,re_france,France,1550.0,mathematician,europe
10218,Q108839194,Johannes Dyrkinus,re_low_countries,Low countries,1530.0,theologian,europe
10224,Q1692879,Johann Christian Adami,re_german_world,German world,1689.0,theologian,europe
10233,Q94869792,Ulrich Nicolaus Schramm,re_german_world,German world,1562.0,theologian,europe
10235,Q50187108,Jacob Reinecke,re_german_world,German world,1572.0,theologian,europe
10238,Q3384637,Petrus Dasypodius,re_france,France,1495.0,linguist,europe
10242,Q77495,Johann Joachim Lange,re_german_world,German world,1670.0,theologian | philosopher,europe
10249,Q1388233,François Poullain de la Barre,re_france,France,1647.0,philosopher,europe
10251,Q2424918,Thomas Ihre,re_nordic_countries,Nordic countries,1659.0,theologian,europe
10252,Q21207961,Falconet,re_france,France,1601.0,mathematician,europe
10254,Q84289,Georg von Peuerbach,re_german_world,German world,1423.0,astronomer | mathematician,europe
10259,Q505118,Henri Pitot,re_france,France,1695.0,astronomer | physicist,europe
10272,Q56574191,Jacob Amling,re_german_world,German world,1630.0,mathematician,europe
10274,Q19286900,Johannes Bisterfeld,re_low_countries,Low countries,1568.0,philosopher,europe
10275,Q1510217,Gerard Zerbolt of Zutphen,re_low_countries,Low countries,1367.0,theologian,europe
10276,Q716415,Jan Standonck,re_france,France,1453.0,theologian | philosopher,europe
10278,Q5971475,Mogens Madsen,re_nordic_countries,Nordic countries,1527.0,historian,europe
10281,Q2050711,Marteen van Dorp,re_low_countries,Low countries,1485.0,theologian,europe
10283,Q3080974,Francesco Giuntini,re_france,France,1523.0,theologian | astronomer,europe
10286,Q442240,"Charles du Fresne, sieur du Cange",re_france,France,1610.0,historian,europe
10287,Q3171779,Jean Donneau de Visé,re_france,France,1638.0,historian,europe
10296,Q676768,Cornelis de Jode,re_low_countries,Low countries,1568.0,geographer,europe
10297,Q3086066,François-Xavier Bon de Saint-Hilaire,re_france,France,1678.0,botanist,europe
10298,Q1686923,Meinhard Plesken,re_german_world,German world,1696.0,theologian,europe
10304,Q37494995,Pierre de Paschal,re_france,France,1522.0,historian,europe
10311,Q1085128,Christoph Heinrich Zeibich,re_german_world,German world,1677.0,theologian,europe
10318,Q36005835,Johann Jakob Lidl,re_german_world,German world,1696.0,geographer,europe
10324,Q56243212,Gaspard de Seguiran,re_france,France,1569.0,theologian,europe
10325,Q6171275,Jean Palairet,re_france,France,1697.0,geographer,europe
10329,Q2480140,Jan Opstraet,re_low_countries,Low countries,1651.0,theologian,europe
10334,Q23562190,Eberhard Friedrich Hiemer,re_german_world,German world,1682.0,theologian,europe
10335,Q477492,Philipp von Hörnigk,re_german_world,German world,1640.0,economist,europe
10336,Q1539361,Gottfried Meisner,re_german_world,German world,1618.0,theologian,europe
10337,Q6320169,Jérôme Besoigne,re_france,France,1686.0,theologian,europe
10338,Q94827922,Johann Majer,re_german_world,German world,1641.0,geographer,europe
10342,Q1819195,Leonhard Brunner,re_german_world,German world,1500.0,theologian,europe
10344,Q111464,Johannes Bünderlin,re_german_world,German world,1499.0,theologian,europe
10346,Q2843916,Amos Barbot de Buzay,re_france,France,1566.0,historian,europe
10347,Q2528924,Vitus Büscher,re_german_world,German world,1602.0,theologian,europe
10352,Q630646,Nicolaes Tulp,re_low_countries,Low countries,1593.0,anatomist,europe
10357,Q1525183,Johann Lachmann,re_german_world,German world,1491.0,theologian,europe
10358,Q1375281,Wilhelmus à Brakel,re_low_countries,Low countries,1635.0,theologian | philosopher,europe
10359,Q1560202,Wilhelm Hüls,re_german_world,German world,1598.0,theologian,europe
10360,Q78323,Martin Rinkart,re_german_world,German world,1586.0,theologian,europe
10369,Q55374922,Ulrich Cubicularius,re_german_world,German world,1600.0,theologian,europe
10371,Q3165237,Jean-Claude Sommier,re_france,France,1661.0,historian,europe
10372,Q5557702,Johannes Olai Anthelius,re_nordic_countries,Nordic countries,1575.0,theologian | astronomer,europe
10376,Q349771,Andrew Melville,re_france,France,1545.0,theologian | linguist,europe
10377,Q1696354,Johann Soetefleisch,re_german_world,German world,1552.0,theologian,europe
10389,Q33802236,Jean Tarin,re_france,France,1590.0,historian,europe
10391,Q1706693,Giovanni Veneroni,re_france,France,1642.0,linguist,europe
10396,Q574405,Johannes Stabius,re_german_world,German world,1460.0,geographer | anatomist,europe
10402,Q3471230,Samuel de Sorbiere,re_france,France,1615.0,philosopher,europe
10404,Q17417832,Johann Ludwig Andreae,re_german_world,German world,1667.0,theologian,europe
10406,Q1100290,Antoine Varillas,re_france,France,1624.0,historian,europe
10408,Q22570,Christoph Lehmann,re_german_world,German world,1568.0,historian,europe
10409,Q2386193,Nicolas Denisot,re_france,France,1515.0,geographer,europe
10419,Q86092,Adam Adami,re_german_world,German world,1610.0,historian,europe
10428,Q980754,Johann Himmel,re_german_world,German world,1581.0,theologian,europe
10433,Q1271680,Johann Georg Adam von Hoheneck,re_german_world,German world,1669.0,historian,europe
10438,Q2471026,Andreas van Luchtenburg,re_low_countries,Low countries,1643.0,astronomer | mathematician,europe
10441,Q2387965,Jacques Roergas de Serviez,re_france,France,1679.0,historian,europe
10442,Q102478,Johann Friedrich König,re_german_world,German world,1619.0,theologian,europe
10451,Q76568,Heinrich Cornelius Agrippa,re_france,France,1486.0,theologian | astronomer | philosopher,europe
10457,Q15454587,Martin Brasch,re_german_world,German world,1565.0,philosopher,europe
10460,Q59287156,Johann Heinrich Rahn,re_german_world,German world,1646.0,historian,europe
10462,Q1116573,Johannes Liesegang,re_german_world,German world,1616.0,theologian,europe
10463,Q1694062,Johann Glandorp,re_german_world,German world,1501.0,theologian,europe
10465,Q57302047,Louis-Joseph Marchand,re_france,France,1690.0,musicologist,europe
