,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
33183,Q19289710,Antoni de Bastero i Lledó,re_spain,Spain,1675.0,linguist,europe,Iberian Peninsula
33191,Q108103034,Ambrosio Borsano,re_spain,Spain,1633.0,geographer,europe,Iberian Peninsula
33196,Q5875806,Gaspar Galcerán de Pinós,re_spain,Spain,1584.0,historian,europe,Iberian Peninsula
33224,Q10357463,Raphael Bluteau,re_portugal,Portugal,1638.0,philosopher,europe,Iberian Peninsula
33243,Q330740,Abraham Zacuto,re_spain,Spain,1450.0,astronomer | historian | mathematician,europe,Iberian Peninsula
33245,Q12263565,Miguel Elizalde,re_spain,Spain,1619.0,theologian,europe,Iberian Peninsula
33257,Q12261074,Juan Sada,re_spain,Spain,1500.0,mathematician,europe,Iberian Peninsula
33270,Q85832617,Ausiàs Izquierdo,re_spain,Spain,1596.0,historian,europe,Iberian Peninsula
33276,Q10347594,Pedro Margalho,re_portugal,Portugal,1474.0,philosopher,europe,Iberian Peninsula
33287,Q66639751,Joan Aparici,re_spain,Spain,1636.0,theologian,europe,Iberian Peninsula
33294,Q3830464,Leonardo Torriani,re_portugal,Portugal,1559.0,historian,europe,Iberian Peninsula
33313,Q5678293,Gaspar Juan Escolano,re_spain,Spain,1560.0,historian,europe,Iberian Peninsula
33316,Q16483625,Antonio López de Vega,re_spain,Spain,1586.0,economist,europe,Iberian Peninsula
33324,Q3072158,Luisa Sigea de Velasco,re_spain,Spain,1522.0,philosopher,europe,Iberian Peninsula
33332,Q978828,António Brandão,re_portugal,Portugal,1584.0,historian,europe,Iberian Peninsula
33346,Q1220565,Diogo Ribeiro,re_spain,Spain,1500.0,geographer,europe,Iberian Peninsula
33350,Q10855567,Andrés de Poza,re_spain,Spain,1530.0,linguist,europe,Iberian Peninsula
33379,Q11929244,João Vaz Barradas Muitopäo i Morato,re_portugal,Portugal,1689.0,musicologist,europe,Iberian Peninsula
33382,Q47015907,Juan de Espina,re_spain,Spain,1583.0,musicologist,europe,Iberian Peninsula
33384,Q3187835,Juan de Ortega,re_spain,Spain,1480.0,mathematician,europe,Iberian Peninsula
33412,Q2030849,Antonio de Herrera y Tordesillas,re_spain,Spain,1549.0,historian,europe,Iberian Peninsula
33417,Q16943554,Jeroni Rossell i Montfar,re_spain,Spain,1677.0,philosopher,europe,Iberian Peninsula
33430,Q5992477,Ignacio de Arbieto,re_spain,Spain,1585.0,philosopher | historian,europe,Iberian Peninsula
33434,Q3753207,Jaume Ferrer de Blanes,re_spain,Spain,1445.0,geographer,europe,Iberian Peninsula
