,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
30107,Q93876431,Bartolomeo of Ferrara,re_italy,Italy,1368.0,theologian,europe,Italy
30109,Q3756544,Gabriele Bonomo,re_italy,Italy,1694.0,theologian | philosopher | mathematician,europe,Italy
30111,Q527075,Secundus of Non,re_italy,Italy,600.0,historian,europe,Italy
30114,Q335112,"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",re_italy,Italy,1671.0,philosopher,europe,Italy
30119,Q3651449,Camillo Baldi,re_italy,Italy,1547.0,philosopher,europe,Italy
30123,Q451647,Giambattista Benedetti,re_italy,Italy,1530.0,musicologist | astronomer | physicist | mathematician,europe,Italy
30132,Q380652,Giles of Viterbo,re_italy,Italy,1469.0,philosopher,europe,Italy
30135,Q5565320,Giuseppe Agnelli,re_italy,Italy,1621.0,theologian,europe,Italy
30136,Q5659931,Agostino Dati,re_italy,Italy,1420.0,linguist | historian,europe,Italy
30139,Q3436127,Robert Pullen,re_italy,Italy,1080.0,theologian,europe,Italy
30140,Q51176327,Nicolò Burzio,re_italy,Italy,1450.0,musicologist,europe,Italy
30143,Q3531260,Tommaso Fazello,re_italy,Italy,1498.0,theologian | historian,europe,Italy
30148,Q3762111,Jacques-Hyacinthe Serry,re_italy,Italy,1659.0,theologian,europe,Italy
30152,Q431054,Martin of Opava,re_italy,Italy,1300.0,historian,europe,Italy
30158,Q633468,Giuseppe Francesco Borri,re_italy,Italy,1627.0,chemist,europe,Italy
30159,Q28848553,Giacinto Gigli,re_italy,Italy,1594.0,historian,europe,Italy
30165,Q12877963,Theodore Spandounes,re_italy,Italy,1401.0,historian,europe,Italy
30171,Q3907883,Pompeo Sarnelli,re_italy,Italy,1649.0,historian,europe,Italy
30173,Q21548225,Annibale Briganti,re_italy,Italy,1520.0,philosopher,europe,Italy
30174,Q3796323,Ilario Altobelli,re_italy,Italy,1560.0,astronomer,europe,Italy
30178,Q3768368,Giovanni Vincenzo Verzellino,re_italy,Italy,1562.0,historian,europe,Italy
30179,Q2289542,Catherine de Pallanza,re_italy,Italy,1437.0,philosopher,europe,Italy
30186,Q5041436,Carlo Abbate,re_italy,Italy,1600.0,musicologist,europe,Italy
30194,Q1522301,Gian Girolamo Zannichelli,re_italy,Italy,1662.0,botanist | pharmacologist,europe,Italy
30196,Q3620091,Antonio Riccoboni,re_italy,Italy,1541.0,historian,europe,Italy
30214,Q3476896,Sebastiano Menzocchi,re_italy,Italy,1535.0,historian,europe,Italy
30223,Q536170,Angelo Maria Quirini,re_italy,Italy,1680.0,historian,europe,Italy
30231,Q3610093,Alessandro Luzzago,re_italy,Italy,1551.0,theologian | philosopher,europe,Italy
30232,Q55228043,Pietro Garzoni,re_italy,Italy,1698.0,historian,europe,Italy
30234,Q1803572,Nathan ben Jehiel,re_italy,Italy,1100.0,linguist,europe,Italy
30237,Q19399925,Federico Bonaventura,re_italy,Italy,1555.0,mathematician | zoologist,europe,Italy
30244,Q970999,Pietro di Giacomo Cataneo,re_italy,Italy,1510.0,mathematician,europe,Italy
30245,Q3846035,Marco Cremosano,re_italy,Italy,1611.0,historian,europe,Italy
30249,Q1708321,Joseph ha-Kohen,re_italy,Italy,1496.0,historian,europe,Italy
30261,Q30902518,Antonio Sandini,re_italy,Italy,1692.0,historian,europe,Italy
30264,Q184530,Gerolamo Cardano,re_italy,Italy,1501.0,philosopher | mathematician,europe,Italy
30274,Q18945442,Giovanni Giacomo Lando,re_italy,Italy,1551.0,economist,europe,Italy
30276,Q352569,Jacopo Nardi,re_italy,Italy,1476.0,historian,europe,Italy
30279,Q23061025,Ilarione Rancati,re_italy,Italy,1594.0,theologian,europe,Italy
30283,Q4002958,Ugolino of Forlì,re_italy,Italy,1380.0,musicologist,europe,Italy
30292,Q2739207,Giovanni Battista Doni,re_italy,Italy,1595.0,musicologist,europe,Italy
30293,Q16863516,Camillo Tarello,re_italy,Italy,1513.0,botanist,europe,Italy
30294,Q3695658,Costanzo Felici,re_italy,Italy,1525.0,botanist,europe,Italy
30298,Q106611737,Lorenzo Gigli,re_italy,Italy,1685.0,historian,europe,Italy
30303,Q936722,Claudio Tolomei,re_italy,Italy,1492.0,linguist,europe,Italy
30315,Q3904132,Pietro Paolo Caporella,re_italy,Italy,1450.0,theologian,europe,Italy
30318,Q3107969,Giuseppe Agostino Orsi,re_italy,Italy,1692.0,theologian | historian,europe,Italy
30323,Q5290104,Domenico Malipiero,re_italy,Italy,1445.0,historian,europe,Italy
30324,Q1383735,Alfonso Salmeron,re_italy,Italy,1515.0,theologian,europe,Italy
30331,Q128027,Giorgio Vasari,re_italy,Italy,1511.0,art theorist,europe,Italy
30334,Q3907855,Pompeo Aldrovandini,re_italy,Italy,1677.0,art theorist | linguist,europe,Italy
30336,Q110162102,Michele Fabrizio Ferrarini,re_italy,Italy,1450.0,archeologist,europe,Italy
30338,Q3770213,Giuseppe Campani,re_italy,Italy,1635.0,astronomer,europe,Italy
30340,Q106833119,Agostino Doni,re_italy,Italy,1550.0,philosopher,europe,Italy
30341,Q87068374,Matteo Donia,re_italy,Italy,1550.0,philosopher,europe,Italy
30348,Q3767984,Giovanni Arca,re_italy,Italy,1562.0,historian,europe,Italy
30349,Q24037607,Federigo Amadei,re_italy,Italy,1684.0,historian,europe,Italy
30350,Q87068388,Biagio Milanesi,re_italy,Italy,1444.0,theologian,europe,Italy
30353,Q778529,Antonio Francesco Gori,re_italy,Italy,1691.0,archeologist,europe,Italy
30355,Q457191,Pietro Andrea Mattioli,re_italy,Italy,1501.0,botanist,europe,Italy
30357,Q535629,Angelo Berardi,re_italy,Italy,1636.0,musicologist,europe,Italy
30358,Q18945788,Silvio Belli,re_italy,Italy,1510.0,mathematician,europe,Italy
30360,Q94845527,Girolamo Bendandi,re_italy,Italy,1604.0,theologian,europe,Italy
30368,Q936308,Cesare Cremonini,re_italy,Italy,1550.0,philosopher,europe,Italy
30370,Q5565448,Giuseppe Maria Figatelli,re_italy,Italy,1639.0,mathematician,europe,Italy
30378,Q3618851,Anton Felice Marsili,re_italy,Italy,1651.0,botanist,europe,Italy
30380,Q20004062,Agostino De Bellis,re_italy,Italy,1595.0,theologian,europe,Italy
30384,Q355903,Siger of Brabant,re_italy,Italy,1235.0,philosopher,europe,Italy
30392,Q3767363,Sbaralea,re_italy,Italy,1687.0,historian,europe,Italy
30393,Q109876907,Faustino Tasso,re_italy,Italy,1541.0,historian,europe,Italy
30399,Q21993844,Francesco Valegio,re_italy,Italy,1570.0,geographer,europe,Italy
30400,Q2662898,Antonio Vallisneri,re_italy,Italy,1661.0,botanist | geologist,europe,Italy
30401,Q647000,Michelangelo Tamburini,re_italy,Italy,1648.0,philosopher,europe,Italy
30404,Q3651563,Camillo Pellegrino,re_italy,Italy,1598.0,historian,europe,Italy
