,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
1290,Q5071661,Chang Qu,re_chinese_world,Chinese world,291.0,historian,non_europe
1291,Q561165,Shen Yue,re_chinese_world,Chinese world,441.0,historian,non_europe
1292,Q2466384,Lu Jiuyuan,re_chinese_world,Chinese world,1139.0,philosopher,non_europe
1293,Q18812219,Qu Taisu,re_chinese_world,Chinese world,1549.0,mathematician,non_europe
1294,Q3051507,Hua He,re_chinese_world,Chinese world,219.0,historian,non_europe
1296,Q45691164,Qu Jiusi,re_chinese_world,Chinese world,1546.0,historian,non_europe
1297,Q6121590,Gu Xiancheng,re_chinese_world,Chinese world,1550.0,philosopher,non_europe
1298,Q1292321,Zhang Sixun,re_chinese_world,Chinese world,1050.0,astronomer,non_europe
1300,Q15449527,Chen Hongxu,re_chinese_world,Chinese world,1597.0,archeologist | historian,non_europe
1301,Q11089447,Yan Shu,re_chinese_world,Chinese world,991.0,historian,non_europe
1302,Q457972,Guan Zhong,re_chinese_world,Chinese world,-719.0,philosopher,non_europe
1303,Q11073410,Hui Dong,re_chinese_world,Chinese world,1697.0,philosopher,non_europe
1304,Q1387854,Desi Sangye Gyatso,re_chinese_world,Chinese world,1653.0,historian,non_europe
1305,Q1088063,Hua Sui,re_chinese_world,Chinese world,1439.0,historian,non_europe
1306,Q7267602,Qian Dehong,re_chinese_world,Chinese world,1496.0,philosopher,non_europe
1307,Q5950484,Xu Ai,re_chinese_world,Chinese world,1487.0,philosopher,non_europe
1308,Q31754,Huang Zongxi,re_chinese_world,Chinese world,1610.0,philosopher | historian,non_europe
1309,Q11095476,Li Guangdi,re_chinese_world,Chinese world,1642.0,philosopher,non_europe
1310,Q10543449,Lu Zhen,re_chinese_world,Chinese world,957.0,historian,non_europe
1311,Q714374,Wang Fuzhi,re_chinese_world,Chinese world,1619.0,philosopher | historian,non_europe
1312,Q626733,Fan Chengda,re_chinese_world,Chinese world,1126.0,geographer,non_europe
1313,Q515272,Rigdzin Tsewang Norbu,re_chinese_world,Chinese world,1698.0,historian,non_europe
1314,Q706837,Liu Yuxi,re_chinese_world,Chinese world,772.0,philosopher,non_europe
1317,Q16076318,Xu Dong,re_chinese_world,Chinese world,976.0,historian,non_europe
1318,Q3315279,Zheng Ruozeng,re_chinese_world,Chinese world,1503.0,geographer,non_europe
1319,Q12165238,Fang Yizhi,re_chinese_world,Chinese world,1611.0,linguist,non_europe
1320,Q30949294,Ouyang De,re_chinese_world,Chinese world,1496.0,philosopher,non_europe
1321,Q558192,Cheng Hao,re_chinese_world,Chinese world,1032.0,philosopher,non_europe
1323,Q4578350,Chen Hongmou,re_chinese_world,Chinese world,1696.0,philosopher,non_europe
1324,Q699303,Chen Di,re_chinese_world,Chinese world,1541.0,linguist,non_europe
1325,Q698177,Li Zhi,re_chinese_world,Chinese world,1527.0,philosopher,non_europe
1326,Q197778,Zhiyi,re_chinese_world,Chinese world,538.0,philosopher,non_europe
1327,Q1288620,Wen Tong,re_chinese_world,Chinese world,1018.0,historian,non_europe
1328,Q4501983,Hu Hong,re_chinese_world,Chinese world,1105.0,philosopher,non_europe
1331,Q537211,Dong Qichang,re_chinese_world,Chinese world,1555.0,art theorist,non_europe
1332,Q703776,Du Qiong,re_chinese_world,Chinese world,101.0,astronomer,non_europe
1333,Q6473698,Lai Zhide,re_chinese_world,Chinese world,1525.0,philosopher,non_europe
1334,Q15941622,Chen Ji,re_chinese_world,Chinese world,1363.0,historian,non_europe
