,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
1878,Q5999683,Marmaduke Alexander Lawson,re_indian_world,Indian world,1840.0,botanist,non_europe,re_indian_world
1879,Q3133011,Henry Piddington,re_indian_world,Indian world,1797.0,botanist | meteorologist,non_europe,re_indian_world
1880,Q31829842,Hazrat Shah Makhdum,re_indian_world,Indian world,1216.0,theologian,non_europe,re_indian_world
1881,Q55680936,Isaac Henry Hacker,re_indian_world,Indian world,1848.0,theologian,non_europe,re_indian_world
1882,Q1293308,Edward Rehatsek,re_indian_world,Indian world,1819.0,linguist,non_europe,re_indian_world
1883,Q7251179,Protap Chunder Mozoomdar,re_indian_world,Indian world,1840.0,philosopher,non_europe,re_indian_world
1884,Q335247,Buddhaghosa,re_indian_world,Indian world,401.0,philosopher,non_europe,re_indian_world
1885,Q196546,Syed Ahmed Khan,re_indian_world,Indian world,1817.0,theologian | philosopher,non_europe,re_indian_world
1886,Q64834,Johann Gerhard König,re_indian_world,Indian world,1728.0,botanist,non_europe,re_indian_world
1887,Q774062,Philippe Couplet,re_indian_world,Indian world,1623.0,historian,non_europe,re_indian_world
1888,Q2672093,Ramananda,re_indian_world,Indian world,1400.0,philosopher,non_europe,re_indian_world
1889,Q2097364,George Bogle,re_indian_world,Indian world,1746.0,historian,non_europe,re_indian_world
1890,Q1137118,Diogo do Couto,re_indian_world,Indian world,1542.0,historian,non_europe,re_indian_world
1891,Q5313951,Dumont de Montigny,re_indian_world,Indian world,1696.0,historian,non_europe,re_indian_world
1892,Q312976,Tulsidas,re_indian_world,Indian world,1532.0,philosopher,non_europe,re_indian_world
1893,Q7346497,Robert Kyd,re_indian_world,Indian world,1746.0,botanist,non_europe,re_indian_world
1894,Q1386345,Theodore Edward Cantor,re_indian_world,Indian world,1809.0,botanist | zoologist,non_europe,re_indian_world
1895,Q2478699,Sanatana Goswami,re_indian_world,Indian world,1488.0,theologian,non_europe,re_indian_world
1896,Q7794377,Thomas Taylor,re_indian_world,Indian world,1775.0,botanist,non_europe,re_indian_world
1897,Q20397982,Qutb ad-Din an-Nahrawali,re_indian_world,Indian world,1511.0,historian,non_europe,re_indian_world
1898,Q3565641,Dimitrios Galanos,re_indian_world,Indian world,1760.0,linguist,non_europe,re_indian_world
1899,Q1397486,Keshub Chunder Sen,re_indian_world,Indian world,1838.0,theologian | philosopher,non_europe,re_indian_world
1900,Q7800321,Tibbetibaba,re_indian_world,Indian world,1820.0,philosopher,non_europe,re_indian_world
1901,Q207817,Amir Khosrow,re_indian_world,Indian world,1253.0,philosopher,non_europe,re_indian_world
1902,Q7290322,Ramtanu Lahiri,re_indian_world,Indian world,1813.0,philosopher,non_europe,re_indian_world
1903,Q7910936,Valentine Blacker,re_indian_world,Indian world,1778.0,geographer | historian,non_europe,re_indian_world
1904,Q892489,Francesco della Penna,re_indian_world,Indian world,1680.0,linguist,non_europe,re_indian_world
1905,Q3351571,Bulleh Shah,re_indian_world,Indian world,1680.0,philosopher,non_europe,re_indian_world
1906,Q392835,Shah Waliullah,re_indian_world,Indian world,1703.0,theologian | philosopher,non_europe,re_indian_world
1907,Q560066,Roberto de Nobili,re_indian_world,Indian world,1577.0,linguist,non_europe,re_indian_world
1908,Q55673547,Hieronymus Christoph Wilhelm Eschenbach,re_indian_world,Indian world,1764.0,mathematician,non_europe,re_indian_world
1909,Q19568993,Raja Shivaprasad,re_indian_world,Indian world,1823.0,historian,non_europe,re_indian_world
1910,Q1862254,Alfred Duvaucel,re_indian_world,Indian world,1793.0,zoologist,non_europe,re_indian_world
1911,Q1236734,John Henry Pratt,re_indian_world,Indian world,1809.0,astronomer | physicist | mathematician,non_europe,re_indian_world
1912,Q3633981,Dadu Dayal,re_indian_world,Indian world,1544.0,philosopher,non_europe,re_indian_world
1913,Q2462643,Henry Trimen,re_indian_world,Indian world,1843.0,botanist | taxonomist,non_europe,re_indian_world
1914,Q70458455,John Cave-Browne,re_indian_world,Indian world,1818.0,archeologist,non_europe,re_indian_world
1915,Q3160832,Guru Jambheshwar,re_indian_world,Indian world,1451.0,philosopher,non_europe,re_indian_world
1916,Q231680,Patanjali,re_indian_world,Indian world,-199.0,linguist | philosopher | mathematician,non_europe,re_indian_world
1917,Q2269861,Mahāvīra,re_indian_world,Indian world,900.0,mathematician,non_europe,re_indian_world
1918,Q3200157,Kshemaraja,re_indian_world,Indian world,975.0,philosopher,non_europe,re_indian_world
1919,Q3525596,Thomas Stephens,re_indian_world,Indian world,1549.0,linguist,non_europe,re_indian_world
1920,Q2977486,Muhammad Khwandamir,re_indian_world,Indian world,1475.0,historian,non_europe,re_indian_world
1921,Q7832835,Trailokyanath Sanyal,re_indian_world,Indian world,1848.0,philosopher,non_europe,re_indian_world
1922,Q2493613,Ahmad Sirhindi,re_indian_world,Indian world,1564.0,theologian,non_europe,re_indian_world
1923,Q5318288,Dwijendranath Tagore,re_indian_world,Indian world,1840.0,philosopher | mathematician,non_europe,re_indian_world
1924,Q4832251,Azar Kayvan,re_indian_world,Indian world,1501.0,philosopher,non_europe,re_indian_world
1925,Q379905,Asanga,re_indian_world,Indian world,300.0,philosopher,non_europe,re_indian_world
1926,Q2871163,Auguste Desgodins,re_indian_world,Indian world,1826.0,linguist | zoologist,non_europe,re_indian_world
1927,Q824771,Bernhard Bischopinck,re_indian_world,Indian world,1692.0,theologian,non_europe,re_indian_world
