,wikidata_id,meta_occupation
29486,Q55901891,physicist
2724,Q5579947,theologian
142585,Q318083,mathematician
125069,Q3770684,geologist | anatomist
156658,Q94692769,anatomist
135325,Q55875419,archeologist
96247,Q346037,historian
149857,Q21094077,economist
124981,Q962334,philosopher
20211,Q27440695,zoologist
147917,Q8865058,zoologist | physicist
60514,Q3120126,theologian
111175,Q5393162,anatomist
75985,Q81130,physicist | astronomer | mathematician | chemist | meteorologist
73403,Q3384619,linguist
61574,Q103309,paleontologist
73048,Q55122918,philosopher
152420,Q94527403,historian
135826,Q1679483,linguist
138745,Q3767693,botanist
80603,Q1693617,anatomist
56374,Q4396937,geologist
107116,Q21606821,botanist
83017,Q1811202,theologian
145479,Q21522086,botanist
129672,Q36293444,philosopher
45367,Q55625602,geographer | historian
62285,Q117688,botanist
86949,Q94926805,theologian
68043,Q1176406,mathematician
159458,Q2363685,historian
80679,Q21505565,botanist
151250,Q12028105,anthropologist
42469,Q316996,chemist | anatomist
106154,Q70453,theologian
126995,Q3619833,mathematician
141465,Q11944472,botanist
4192,Q21520094,botanist
19841,Q55894156,physicist | chemist
15448,Q681866,archeologist | historian | anthropologist
147807,Q579504,geographer | astronomer | philosopher | mathematician
38088,Q60861,astronomer
121771,Q4212873,theologian
112636,Q55673771,theologian
52802,Q55673470,theologian
154905,Q12641871,historian
153320,Q95456798,historian
30858,Q3086320,historian
116778,Q58847,astronomer
115769,Q5893525,botanist
29746,Q1910555,theologian
101966,Q1039509,geologist
154201,Q727301,sociologist
150381,Q18645178,botanist | zoologist | geologist
30260,Q3456130,historian
17344,Q947504,historian
159958,Q11906871,mathematician
123198,Q61884221,philosopher
155725,Q95181392,physicist
32455,Q1542683,philosopher
99869,Q1499914,chemist
159576,Q2696027,philosopher
65993,Q3385435,chemist
12012,Q38464647,meteorologist
25538,Q105022,anatomist
22613,Q61971995,botanist
65028,Q110294,musicologist
151106,Q95177583,botanist
112272,Q3898723,theologian
144612,Q67136,theologian | philosopher | historian
10108,Q62605189,botanist
13736,Q78781157,botanist
121900,Q10346273,geologist
115548,Q3047998,philosopher
22472,Q3190708,theologian
43072,Q1415401,theologian | historian
150556,Q55683125,theologian
148503,Q8019464,historian
136712,Q950531,botanist
135794,Q17477902,historian
60747,Q330769,philosopher
32967,Q55678461,theologian
54382,Q5999471,historian
34329,Q3171356,philosopher
66769,Q1611259,historian
40848,Q3365201,historian
10056,Q7325692,musicologist
163487,Q8008992,botanist | zoologist
95285,Q3179663,musicologist
113268,Q73895,theologian
35621,Q5893557,botanist
128597,Q18945499,historian
140073,Q5955802,historian
121865,Q8240970,botanist
135340,Q3904042,anatomist
93200,Q42101251,anatomist
50242,Q67283,theologian
158493,Q4095803,zoologist
96875,Q3379157,anatomist
16860,Q18527188,theologian
56167,Q94834748,historian
128917,Q93251886,theologian
134087,Q3610122,archeologist | historian
140771,Q725712,theologian | historian
52485,Q54842694,theologian
123941,Q342730,philosopher
3592,Q15994625,zoologist
54858,Q110708,theologian
32499,Q16010771,philosopher
53264,Q3383238,theologian
24922,Q55233309,meteorologist
128587,Q12265431,historian
163269,Q231680,linguist | philosopher | mathematician
148537,Q1280002,philosopher
29261,Q1567581,botanist | zoologist
114901,Q5837101,botanist
70206,Q61038,mathematician
86861,Q3298612,astronomer | mathematician
105173,Q18957801,theologian
106517,Q3387047,theologian
42759,Q18222983,philosopher
86205,Q15456250,theologian
30866,Q1539433,theologian
134958,Q26267121,theologian | philosopher
146520,Q2874497,geographer | linguist
46722,Q86763,theologian
61857,Q77051,astronomer
21060,Q3083977,geographer
132541,Q5992477,philosopher | historian
67552,Q12298452,historian
82934,Q41213532,theologian
94637,Q112281949,historian
13608,Q804927,meteorologist | physicist
74950,Q1082072,theologian
45466,Q16509014,theologian
