,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region
1986,Q6934061,Mulla Mahmud Jaunpuri,re_indian_world,Indian world,1585.0,astronomer | philosopher,non_europe
1988,Q2551244,Anandavardhana,re_indian_world,Indian world,820.0,philosopher,non_europe
1989,Q115590,Madhava of Sangamagrama,re_indian_world,Indian world,1350.0,astronomer | mathematician,non_europe
1990,Q2357643,Brahmadeva,re_indian_world,Indian world,1060.0,astronomer | mathematician,non_europe
1991,Q2548030,Nilakantha Somayaji,re_indian_world,Indian world,1444.0,astronomer | mathematician,non_europe
1992,Q3524867,Bhadrabahu,re_indian_world,Indian world,-366.0,philosopher,non_europe
1993,Q3595804,Achyutananda Dasa,re_indian_world,Indian world,1510.0,philosopher,non_europe
1994,Q3595700,Vararuchi,re_indian_world,Indian world,-250.0,linguist | mathematician,non_europe
1995,Q153187,Ajita Kesakambali,re_indian_world,Indian world,-500.0,philosopher,non_europe
1997,Q335371,Madhvacharya,re_indian_world,Indian world,1238.0,philosopher,non_europe
2002,Q94172306,Narayanacharya,re_indian_world,Indian world,1600.0,philosopher,non_europe
2004,Q66428184,Satyanidhi Tirtha,re_indian_world,Indian world,1580.0,philosopher,non_europe
2006,Q4387083,Raghunatha Bhatta Goswami,re_indian_world,Indian world,1505.0,theologian,non_europe
2007,Q2350157,Purandara Dasa,re_indian_world,Indian world,1484.0,philosopher,non_europe
2009,Q1033695,Dnyaneshwar,re_indian_world,Indian world,1275.0,philosopher,non_europe
2010,Q45740313,Shridhar Swami Nazarekar,re_indian_world,Indian world,1658.0,philosopher,non_europe
2011,Q6936683,Munishvara,re_indian_world,Indian world,1650.0,mathematician,non_europe
2012,Q66183627,Satyanatha Tirtha,re_indian_world,Indian world,1648.0,philosopher,non_europe
2013,Q13111845,Govinda Bhattathiri,re_indian_world,Indian world,1237.0,astronomer,non_europe
2015,Q2075639,Yamunacharya,re_indian_world,Indian world,950.0,philosopher,non_europe
2017,Q3595755,Jyeṣṭhadeva,re_indian_world,Indian world,1500.0,astronomer | mathematician,non_europe
2020,Q891045,Parameshvara,re_indian_world,Indian world,1370.0,astronomer | mathematician,non_europe
2021,Q6150791,Janardanswamy,re_indian_world,Indian world,1504.0,philosopher,non_europe
2023,Q2655917,Jiva Goswami,re_indian_world,Indian world,1511.0,linguist,non_europe
2024,Q171195,Nāgārjuna,re_indian_world,Indian world,150.0,philosopher,non_europe
2025,Q558272,Dignāga,re_indian_world,Indian world,480.0,philosopher,non_europe
2026,Q1741798,Ramanuja,re_indian_world,Indian world,1017.0,theologian | philosopher,non_europe
2029,Q3530291,Vedanta Desika,re_indian_world,Indian world,1269.0,philosopher,non_europe
2030,Q2343604,Vallabha,re_indian_world,Indian world,1479.0,philosopher,non_europe
2031,Q2989506,Rupa Goswami,re_indian_world,Indian world,1489.0,philosopher,non_europe
2033,Q5657354,Haridatta,re_indian_world,Indian world,700.0,astronomer | mathematician,non_europe
2035,Q527384,Pingala,re_indian_world,Indian world,-149.0,linguist | mathematician,non_europe
2036,Q7919473,Vemana,re_indian_world,Indian world,1652.0,philosopher,non_europe
