,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
352,Q6223588,John Browne,re_british_islands,British Islands,1642.0,anatomist,europe,British Islands
355,Q3568771,William Lambarde,re_british_islands,British Islands,1536.0,archeologist,europe,British Islands
365,Q18526913,Charles Potter,re_british_islands,British Islands,1634.0,philosopher,europe,British Islands
367,Q1700457,John Heydon,re_british_islands,British Islands,1629.0,philosopher,europe,British Islands
369,Q599071,Johannes Cotto,re_british_islands,British Islands,1100.0,musicologist,europe,British Islands
370,Q318622,Martin Bucer,re_british_islands,British Islands,1491.0,theologian,europe,British Islands
380,Q7790107,Thomas Gordon,re_british_islands,British Islands,1691.0,linguist,europe,British Islands
382,Q4723684,Alfred of Beverley,re_british_islands,British Islands,1050.0,historian,europe,British Islands
389,Q18526298,Adam Burley,re_british_islands,British Islands,1300.0,philosopher,europe,British Islands
392,Q518333,Jacques Abbadie,re_british_islands,British Islands,1654.0,theologian,europe,British Islands
393,Q1959556,James Jurin,re_british_islands,British Islands,1684.0,epidemiologist | physicist | mathematician,europe,British Islands
394,Q154938,Bede,re_british_islands,British Islands,672.0,theologian | historian,europe,British Islands
395,Q18670888,Charles Mackie,re_british_islands,British Islands,1688.0,historian,europe,British Islands
400,Q7526946,Sir George Wheler,re_british_islands,British Islands,1651.0,botanist | archeologist,europe,British Islands
402,Q27231029,Samuel Presbiter,re_british_islands,British Islands,1200.0,theologian,europe,British Islands
407,Q6264915,John Worthington,re_british_islands,British Islands,1618.0,theologian | philosopher,europe,British Islands
411,Q3319086,William Alabaster,re_british_islands,British Islands,1567.0,theologian,europe,British Islands
413,Q18530618,Peter Partridge,re_british_islands,British Islands,1385.0,theologian,europe,British Islands
417,Q935084,John Mill,re_british_islands,British Islands,1645.0,theologian,europe,British Islands
419,Q18530778,Richard Chefer,re_british_islands,British Islands,1354.0,theologian,europe,British Islands
424,Q503126,Raphael Holinshed,re_british_islands,British Islands,1529.0,historian,europe,British Islands
425,Q371825,Johann Christoph Pepusch,re_british_islands,British Islands,1667.0,musicologist,europe,British Islands
429,Q357824,Gerald of Wales,re_british_islands,British Islands,1146.0,geographer | historian,europe,British Islands
431,Q1381018,William Stukeley,re_british_islands,British Islands,1687.0,archeologist | historian | anthropologist,europe,British Islands
433,Q159592,John Napier,re_british_islands,British Islands,1550.0,theologian | astronomer | physicist | mathematician,europe,British Islands
437,Q16198117,Nathaniel Crouch,re_british_islands,British Islands,1632.0,historian,europe,British Islands
438,Q5717157,Henry Airay,re_british_islands,British Islands,1560.0,theologian,europe,British Islands
442,Q7518615,Simon Digby,re_british_islands,British Islands,1401.0,historian,europe,British Islands
475,Q256541,Robert Grosseteste,re_british_islands,British Islands,1175.0,philosopher | physicist | astronomer | mathematician | theologian | botanist,europe,British Islands
476,Q7795347,Thomas Wykes,re_british_islands,British Islands,1222.0,historian,europe,British Islands
478,Q3430519,Richard Bellings,re_british_islands,British Islands,1613.0,historian,europe,British Islands
490,Q505697,Thomas Mun,re_british_islands,British Islands,1571.0,economist,europe,British Islands
492,Q1514998,Gershom Carmichael,re_british_islands,British Islands,1672.0,philosopher,europe,British Islands
493,Q609201,Dungal of Bobbio,re_british_islands,British Islands,850.0,astronomer,europe,British Islands
516,Q7350421,Robert Tofte,re_british_islands,British Islands,1562.0,linguist,europe,British Islands
521,Q16859342,Zacheus Isham,re_british_islands,British Islands,1651.0,theologian,europe,British Islands
525,Q18672656,Thomas Savile,re_british_islands,British Islands,1560.0,astronomer | mathematician,europe,British Islands
537,Q2048314,Richard Eden,re_british_islands,British Islands,1520.0,historian,europe,British Islands
539,Q528261,Ralph Cudworth,re_british_islands,British Islands,1617.0,theologian | philosopher,europe,British Islands
549,Q18783919,Richard Richardson,re_british_islands,British Islands,1663.0,botanist,europe,British Islands
550,Q773982,Florence of Worcester,re_british_islands,British Islands,1100.0,historian,europe,British Islands
562,Q1974885,Alexander Neckam,re_british_islands,British Islands,1157.0,theologian | philosopher,europe,British Islands
563,Q5342005,Edward Brerewood,re_british_islands,British Islands,1565.0,mathematician,europe,British Islands
570,Q507790,Nehemiah Grew,re_british_islands,British Islands,1641.0,botanist,europe,British Islands
573,Q460400,Edward Misselden,re_british_islands,British Islands,1608.0,economist,europe,British Islands
576,Q18734704,Samuel Collins,re_british_islands,British Islands,1618.0,anatomist,europe,British Islands
577,Q325408,William Laud,re_british_islands,British Islands,1573.0,theologian,europe,British Islands
578,Q1370937,Robert Simson,re_british_islands,British Islands,1687.0,mathematician,europe,British Islands
579,Q5930147,Hugh Broughton,re_british_islands,British Islands,1549.0,theologian,europe,British Islands
581,Q8016738,William Pemble,re_british_islands,British Islands,1592.0,theologian,europe,British Islands
582,Q1174600,David Gregory,re_british_islands,British Islands,1659.0,astronomer | mathematician,europe,British Islands
596,Q544953,William Drummond of Hawthornden,re_british_islands,British Islands,1585.0,historian,europe,British Islands
597,Q2538072,Andrew of Wyntoun,re_british_islands,British Islands,1350.0,historian,europe,British Islands
626,Q2838721,Roger Marston,re_british_islands,British Islands,1201.0,theologian | philosopher,europe,British Islands
632,Q65009716,Charles Price,re_british_islands,British Islands,1679.0,geographer,europe,British Islands
634,Q7789971,Thomas Gent,re_british_islands,British Islands,1693.0,historian,europe,British Islands
639,Q318192,Robert Recorde,re_british_islands,British Islands,1512.0,philosopher | mathematician,europe,British Islands
643,Q311491,William Oughtred,re_british_islands,British Islands,1574.0,astronomer | mathematician,europe,British Islands
644,Q7519929,Simon Tunsted,re_british_islands,British Islands,1350.0,theologian | philosopher,europe,British Islands
650,Q1234687,William of Newburgh,re_british_islands,British Islands,1130.0,historian,europe,British Islands
657,Q1066618,Charles du Bois,re_british_islands,British Islands,1656.0,botanist,europe,British Islands
678,Q3048505,Edward Wotton,re_british_islands,British Islands,1492.0,zoologist,europe,British Islands
691,Q7966266,Walter Taylor,re_british_islands,British Islands,1700.0,mathematician,europe,British Islands
693,Q4745835,Amerus,re_british_islands,British Islands,1201.0,musicologist,europe,British Islands
696,Q2033352,Robert Browne,re_british_islands,British Islands,1550.0,theologian,europe,British Islands
704,Q380845,Aelred of Rievaulx,re_british_islands,British Islands,1110.0,historian,europe,British Islands
709,Q3434406,Robert Ainsworth,re_british_islands,British Islands,1660.0,linguist,europe,British Islands
714,Q272297,Æthelweard,re_british_islands,British Islands,975.0,historian,europe,British Islands
717,Q358235,Walter Odington,re_british_islands,British Islands,1300.0,musicologist | astronomer,europe,British Islands
719,Q45838,Kenelm Digby,re_british_islands,British Islands,1603.0,philosopher,europe,British Islands
