,wikidata_id,meta_occupation
43580,Q2960057,geographer | historian
19410,Q2573138,theologian
126542,Q1125348,geologist
28060,Q95298705,theologian
99420,Q1837192,historian
84635,Q104125977,theologian
34083,Q6167895,archeologist
80374,Q1054508,theologian
48819,Q313795,theologian
111881,Q3175822,historian
156910,Q95108757,historian
52461,Q84783,physicist
9012,Q323506,archeologist
18028,Q1248770,geographer
22534,Q55124576,mathematician
95337,Q3172026,historian
146911,Q530866,philosopher
137081,Q555161,historian
162992,Q3814009,geographer
51559,Q6125327,historian
55433,Q108761,theologian
85217,Q5339996,geographer
144545,Q481317,physicist
34443,Q1697903,theologian
14616,Q5545262,astronomer
146380,Q11730141,zoologist
127606,Q1827205,botanist
110749,Q3170899,linguist | historian
145525,Q2083730,historian
104044,Q324150,botanist
27729,Q85992,geographer | historian
89020,Q12004861,theologian
9548,Q506164,zoologist
11636,Q11865835,zoologist
154536,Q16061964,historian
10484,Q27017207,zoologist
105173,Q18957801,theologian
133192,Q60603688,mathematician
110682,Q112678580,historian
50644,Q21543824,archeologist
152253,Q61266,botanist | zoologist | anatomist
57233,Q122789,mathematician
85007,Q55681347,theologian
3608,Q4497824,zoologist
146748,Q20521106,economist
145402,Q56006761,theologian
161713,Q1624222,botanist | geologist
109766,Q95357139,theologian
28140,Q1336595,musicologist
101563,Q2978128,linguist
154955,Q12372339,geographer | astronomer
105798,Q104054307,historian
131189,Q967895,mathematician
23709,Q94760908,chemist
156500,Q55225498,mathematician
79572,Q6215732,theologian
153293,Q12360625,historian
51700,Q55125917,botanist
160743,Q66587206,linguist
62176,Q97575951,philosopher
104544,Q2326613,philosopher | mathematician
117880,Q106596,astronomer | mathematician
162548,Q5372193,historian
112284,Q94914452,geographer
126370,Q3384811,historian
9764,Q3257743,zoologist
47921,Q2575744,theologian
123037,Q172383,theologian | astronomer | philosopher | mathematician
14892,Q2072139,paleontologist
70269,Q1085301,theologian
30434,Q94872482,theologian
135681,Q2039,historian
36315,Q55901995,historian
84671,Q15898469,anatomist
142259,Q635581,mathematician
94764,Q109811654,chemist
119737,Q109281,theologian | archeologist | anthropologist
150795,Q4191719,economist
22990,Q970329,archeologist | historian
149091,Q952799,historian
33780,Q90797,historian
134521,Q2868804,linguist
138880,Q102179363,philosopher
102436,Q28119489,botanist
120845,Q5864246,historian
159422,Q3381179,mathematician
152837,Q16644376,geographer
25597,Q2993112,philosopher | historian
45501,Q63430,zoologist | paleontologist | anatomist
126011,Q1042024,philosopher | historian
155470,Q60815086,historian
90715,Q113944,geographer
26804,Q513159,philosopher | physicist | mathematician
55570,Q6310183,zoologist
139457,Q927100,archeologist | anthropologist
144187,Q12372095,geographer
22795,Q4992490,geographer
30997,Q1556633,chemist
17160,Q3040528,botanist
34475,Q1698432,theologian
59619,Q6067238,botanist
141451,Q19003002,botanist
116383,Q1503975,theologian
137330,Q10306764,historian
16536,Q5711903,musicologist
48596,Q5919322,historian
38010,Q645606,botanist
10340,Q5667424,botanist
148992,Q1695013,philosopher
35200,Q2037521,astronomer | physicist | mathematician
139902,Q3953785,zoologist | anatomist
150238,Q106236208,mathematician
114793,Q1390575,theologian
135179,Q1965137,philosopher
49157,Q1503494,theologian | botanist
145582,Q18114427,theologian
43474,Q38977146,historian
156011,Q271956,physicist | mathematician
71332,Q3086296,geographer | astronomer | archeologist
103511,Q1782796,theologian
130662,Q23913628,historian
66117,Q726590,chemist
38256,Q15905912,theologian
70003,Q27517007,physicist
5312,Q6220924,geographer
67133,Q6069342,historian
49423,Q202827,physicist | mathematician
121459,Q90010346,botanist
129107,Q108910979,historian
13928,Q106375573,paleontologist | zoologist
162531,Q11053630,botanist
144392,Q56570033,historian
151171,Q4517662,economist
15120,Q4936482,archeologist | historian
18648,Q18821898,historian
118949,Q42297094,anthropologist | anatomist
77542,Q3497011,botanist
31901,Q55073154,zoologist
149562,Q6215956,philosopher
40043,Q27767468,economist
15540,Q1606918,geographer
139601,Q21297349,archeologist
145649,Q95323838,theologian
12228,Q3525258,botanist
84771,Q56007129,historian
162831,Q177081,philosopher | historian
152627,Q27800614,astronomer
134111,Q3606791,historian
73187,Q472732,anatomist
15888,Q99280035,botanist
92448,Q16063543,geographer
153842,Q14071128,anthropologist
106425,Q1554002,theologian
83093,Q2575563,theologian
55225,Q1580421,theologian | philosopher
113192,Q1387102,historian
131394,Q1042297,philosopher
60931,Q67335,linguist
99972,Q22669859,anthropologist | botanist
151486,Q4070031,geographer
70762,Q215670,historian
40632,Q1497608,theologian | historian
135120,Q6197,philosopher
102693,Q1730652,theologian
127710,Q2335606,philosopher
11016,Q7789508,anthropologist
96597,Q2833700,historian
65405,Q2824772,zoologist
108430,Q1670946,historian
6824,Q376367,astronomer
134036,Q64875933,theologian
118457,Q94893957,theologian
158863,Q4695346,historian | mathematician
150757,Q4410099,historian
104225,Q4723139,theologian
41843,Q205419,botanist
30662,Q61525,theologian
60951,Q15406933,chemist
162072,Q4141812,geographer
149895,Q4178584,zoologist | philosopher | linguist | mathematician | archeologist | anthropologist | geographer
40788,Q6207066,botanist
14188,Q3101836,zoologist
30937,Q19756233,philosopher
109233,Q110207,historian
161069,Q738649,geographer | historian
91436,Q309722,philosopher
148410,Q75995,astronomer | mathematician
109162,Q71135,theologian
144026,Q380648,theologian | mathematician
155422,Q4529248,geologist | paleontologist
11388,Q451667,astronomer | physicist | mathematician
158779,Q311850,archeologist | historian
25911,Q1693563,theologian
95967,Q349850,theologian
42226,Q3340588,physicist | mathematician
163275,Q3525596,linguist
22207,Q66631,zoologist | meteorologist
58327,Q55673619,theologian
110986,Q3158956,archeologist
153832,Q1035990,theologian
163315,Q2652353,anatomist
9448,Q5482339,archeologist | physicist
65481,Q1445710,chemist
161469,Q2829407,linguist
71233,Q1064108,historian
157669,Q893033,linguist
91068,Q6230718,mathematician
151383,Q1128172,geographer
13108,Q5342065,historian
48330,Q1663489,theologian
80663,Q1301920,theologian
97393,Q87900,geographer
108114,Q55900115,historian
57510,Q1403346,theologian
146170,Q5277560,historian
93435,Q908586,chemist
151389,Q12814720,linguist
112707,Q1693062,theologian
98475,Q1749935,physicist
70973,Q61121144,physicist | chemist | mathematician
16152,Q1387711,historian
1900,Q256541,philosopher | physicist | astronomer | mathematician | theologian | botanist
133180,Q3742136,mathematician
35429,Q13103260,chemist
81177,Q94907865,theologian
122807,Q60818012,theologian | historian
50388,Q73523,chemist
85600,Q3129473,botanist | chemist
24358,Q96272,geographer
8620,Q18783788,theologian
102278,Q55266135,historian
131427,Q3741685,mathematician
105162,Q18115235,economist
34693,Q15449248,physicist | mathematician
56632,Q16650323,geographer
114061,Q1684666,botanist | zoologist
11288,Q3048512,linguist
57170,Q60827344,geologist
129764,Q31041273,historian
123425,Q499774,historian
39857,Q55683978,historian
83775,Q16065894,botanist
140183,Q29018310,botanist
95758,Q1448095,geographer
149103,Q56392179,pharmacologist
13308,Q5560171,botanist
224,Q1451111,zoologist
3996,Q12633678,geographer
154605,Q16525038,theologian | philosopher
78598,Q4452609,historian
54870,Q1037213,sociologist
75539,Q16160517,historian
72727,Q445076,astronomer
140226,Q5938270,historian
157773,Q95376253,geographer | historian
145334,Q78564,botanist | zoologist | paleontologist
29000,Q29015372,theologian
53896,Q2302035,historian
45088,Q55052316,geographer
163135,Q3020852,philosopher
34657,Q91124640,linguist | historian
29320,Q5889391,botanist
117853,Q56195266,mathematician
157121,Q1287564,historian
147829,Q1704209,historian
87449,Q29168218,botanist
32531,Q5912834,chemist
37610,Q18011872,economist
160407,Q4540405,astronomer
163079,Q4420067,philosopher
98857,Q1694415,astronomer
58881,Q55031472,zoologist | anatomist
150769,Q9376346,theologian
30608,Q3129471,zoologist
156476,Q25474654,astronomer | mathematician
33126,Q6230775,theologian
60723,Q1894207,mathematician
133485,Q310783,mathematician
138951,Q367016,anatomist
47199,Q76431,astronomer
59879,Q99576,theologian
89503,Q564195,musicologist
160844,Q12205849,botanist | linguist | zoologist | chemist
7520,Q647081,astronomer
149357,Q4221821,botanist
120606,Q24263546,geographer
40459,Q17352761,historian
127804,Q21451684,astronomer | mathematician
11364,Q2821489,linguist
74033,Q71354,theologian
135229,Q545716,historian
744,Q2830808,geologist | zoologist
37772,Q19742270,historian
144098,Q89614,historian
67155,Q3379860,theologian
20419,Q18934860,historian
138267,Q15830463,anatomist
75787,Q2853974,theologian
151399,Q100531,archeologist
162878,Q1352492,zoologist | anatomist
35216,Q104888,theologian
10632,Q5546328,linguist
36216,Q36552495,botanist
51982,Q111042,theologian
115733,Q3263429,linguist
11124,Q6240536,chemist
42615,Q1078941,theologian
16816,Q3435583,historian
20645,Q139528,theologian
73935,Q5923889,botanist
56609,Q21394412,botanist
113927,Q727876,botanist | zoologist | geographer
118445,Q1685927,philosopher | economist | sociologist
53880,Q55585527,theologian
13496,Q5734114,economist
107270,Q783040,musicologist | philosopher | physicist | mathematician
125656,Q21208848,botanist
55075,Q825768,chemist
20803,Q5558574,anthropologist
136010,Q18945026,philosopher
42186,Q1387276,botanist
140919,Q6762307,historian
98555,Q121684,geographer
142709,Q87207694,musicologist | philosopher
146805,Q9469894,philosopher
119492,Q60080,theologian | philosopher | historian | sociologist
129642,Q3713153,chemist
103659,Q22994028,theologian | philosopher
137230,Q982546,theologian
78063,Q19146366,zoologist
86730,Q34655031,historian
134755,Q15266365,historian
98547,Q3732389,musicologist
99254,Q3157571,archeologist | anthropologist
128213,Q4202327,geographer | historian | archeologist
146981,Q1874360,theologian
106646,Q55897796,historian
62413,Q94578957,theologian
79660,Q761290,theologian
128075,Q89023,mathematician
110737,Q94759390,theologian
14568,Q2878295,linguist
107345,Q1505835,theologian
51316,Q94867147,botanist
150777,Q94899874,theologian
52596,Q94881820,historian
101153,Q1598216,botanist
161654,Q18397639,historian
50158,Q665031,theologian
144967,Q1538816,theologian
50013,Q1968431,botanist
73711,Q380520,geologist
149086,Q576161,astronomer
135455,Q711910,historian
81799,Q31209946,geographer
144612,Q67136,theologian | philosopher | historian
116041,Q52148234,physicist | chemist
93702,Q15888325,theologian
45092,Q1693974,theologian
4848,Q2250014,theologian | linguist | historian
22854,Q1360294,philosopher
48426,Q3047990,archeologist | anthropologist
46193,Q1367623,theologian | historian
87053,Q5499267,botanist
41558,Q46851053,historian
31057,Q55126625,theologian | philosopher
111529,Q2856645,anatomist
41827,Q59945,philosopher | historian
36292,Q55134195,philosopher | physicist
119152,Q98381640,historian
94518,Q5566575,theologian
116410,Q123079,linguist | zoologist
133918,Q8962455,philosopher | historian
141482,Q1237504,philosopher
118087,Q62540,pharmacologist | chemist
5512,Q6963397,geographer
85508,Q816909,theologian | philosopher
106806,Q55680000,theologian
147377,Q1262144,historian
112132,Q5749262,botanist
47176,Q62554759,geographer
124550,Q1125568,astronomer | mathematician
41741,Q1231915,theologian | historian
70476,Q3086033,theologian
2380,Q18935104,botanist
61050,Q76319,botanist
75167,Q97841,philosopher
157699,Q9096502,historian
51644,Q19296008,theologian
109949,Q2473815,historian
100110,Q12312530,historian
84082,Q1627273,historian
125906,Q1498117,archeologist
41415,Q21514567,botanist
57198,Q3262352,botanist
10148,Q5232316,theologian
27965,Q3370384,linguist
57340,Q2570642,art theorist
147973,Q1562433,zoologist
18400,Q16065837,historian
155719,Q4156289,philosopher
55888,Q85108,theologian
153951,Q12878414,historian
150386,Q11780974,theologian
129153,Q7756348,theologian | philosopher
144482,Q15965068,mathematician
131623,Q5875806,historian
31378,Q46995803,anatomist
111465,Q194436,musicologist
162023,Q63566583,astronomer
99937,Q26722146,philosopher
57903,Q60822145,historian
154680,Q4251435,geographer | zoologist
43776,Q53503204,geographer
146800,Q15838679,mathematician
13648,Q18527057,philosopher
118253,Q687932,musicologist
75407,Q824648,archeologist
148679,Q112548,astronomer
29754,Q4494983,botanist
155027,Q1463355,historian
55602,Q58053,botanist | zoologist
131076,Q3659681,archeologist | linguist
72765,Q297726,philosopher | historian
62790,Q2839868,geologist | archeologist
81573,Q361525,physicist | chemist
122978,Q3776531,botanist
108894,Q94754919,theologian
54311,Q368021,theologian
117651,Q1080226,chemist
105643,Q1705470,chemist
146110,Q2392016,geographer
58467,Q20746602,geologist | zoologist | paleontologist
114917,Q1433203,theologian
49630,Q516406,paleontologist
37364,Q16058517,botanist | zoologist
35417,Q30134356,historian
77677,Q94924463,theologian
152776,Q102344821,theologian
28717,Q1329049,historian
19730,Q1302953,historian
156900,Q1556523,chemist
131790,Q50812627,historian
60539,Q12305878,geographer
141742,Q55908387,anatomist
120957,Q154827,linguist | historian
144672,Q5973427,botanist
48131,Q335173,historian
75925,Q55123250,theologian
89595,Q12315321,historian
159298,Q469865,philosopher
64101,Q3057083,zoologist
116554,Q336704,historian
146925,Q95394352,mathematician
40949,Q29053846,mathematician
128846,Q258369,philosopher
12444,Q429749,theologian
106604,Q1691941,musicologist
148396,Q282047,economist
157331,Q11698957,philosopher
155754,Q9274841,geologist | archeologist
145200,Q4528909,historian
157464,Q872237,botanist
130098,Q17300982,historian
132898,Q96606983,philosopher
95146,Q65329,linguist
15544,Q21612053,botanist
124814,Q57297,astronomer
157542,Q527256,historian
146008,Q106390548,mathematician
158252,Q531492,mathematician
6056,Q18880287,zoologist
92302,Q78378251,botanist
146560,Q1850983,historian
124356,Q60049909,historian
155094,Q18540085,historian | mathematician
85560,Q3288216,historian
103356,Q55908698,theologian
68185,Q347891,philosopher
76072,Q70352,theologian | historian
136575,Q15679697,geographer
12284,Q7789958,theologian
124734,Q1926169,historian
62269,Q30098227,mathematician
161915,Q17994343,linguist
140561,Q24737420,philosopher
80354,Q5792658,philosopher | zoologist
137037,Q88174532,economist
28848,Q1574548,theologian
47686,Q5928562,botanist
147031,Q4374912,historian
137417,Q56682280,historian
87923,Q2342814,archeologist
53240,Q2059387,philosopher
24592,Q94916504,theologian | philosopher
74523,Q1259164,theologian
36810,Q40546533,botanist
34574,Q466886,theologian
151777,Q1875255,historian
135466,Q10307498,historian
122822,Q60196940,theologian
67488,Q16509442,theologian
119029,Q4208449,historian
134530,Q23857139,geographer
100446,Q6280602,historian
9916,Q8004403,historian
132463,Q21545675,historian
131774,Q60820387,historian
142550,Q3105068,zoologist
73589,Q19601601,theologian
32115,Q89483949,theologian
158343,Q3647779,geologist | chemist | botanist
84611,Q55125193,theologian
66686,Q55672421,archeologist
148513,Q14602232,paleontologist
69149,Q214593,philosopher
37831,Q1690413,mathematician
160132,Q12251667,linguist
14128,Q720632,zoologist
54803,Q1693525,pharmacologist
158505,Q6302099,historian
16976,Q441104,mathematician
125119,Q62586419,economist
