,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,meta_region_name
37076,Q969675,Joseph Solomon Delmedigo,re_central_europe,Central Europe,1591.0,philosopher | musicologist | astronomer | mathematician,europe,Eastern Europe
37077,Q1693790,Johann Georg Böse,re_central_europe,Central Europe,1662.0,theologian,europe,Eastern Europe
37096,Q107121,Johannes Sinapius,re_central_europe,Central Europe,1667.0,historian,europe,Eastern Europe
37099,Q63864,Jan Marek Marci,re_central_europe,Central Europe,1595.0,physicist | mathematician,europe,Eastern Europe
37115,Q3259517,Lorenzo de Monacis,re_balkans,Balkans,1351.0,historian,europe,Eastern Europe
37118,Q16454530,Jurgis Tiškevičius Logoiskis IV,re_central_europe,Central Europe,1571.0,theologian | philosopher,europe,Eastern Europe
37123,Q16476865,Voicechas Ceciševskis,re_central_europe,Central Europe,1604.0,philosopher,europe,Eastern Europe
37126,Q12648348,Andriejus Jurgevičius,re_central_europe,Central Europe,1560.0,theologian,europe,Eastern Europe
37127,Q1539888,Theophilus Siegfried Bayer,re_slav_world,Slav world,1694.0,linguist | historian,europe,Eastern Europe
37128,Q109730,Matthias Menius,re_slav_world,Slav world,1544.0,astronomer | mathematician,europe,Eastern Europe
37130,Q2081048,Petr z Mladoňovic,re_central_europe,Central Europe,1390.0,theologian,europe,Eastern Europe
37133,Q1599675,Heinrich von Schüttenhofen,re_central_europe,Central Europe,1300.0,philosopher | zoologist,europe,Eastern Europe
37134,Q95323838,Georg Wagner,re_central_europe,Central Europe,1690.0,theologian,europe,Eastern Europe
37143,Q22680504,Dismas Josef Ignác von Hoffer,re_central_europe,Central Europe,1696.0,historian,europe,Eastern Europe
37144,Q342050,"Đorđe Branković, Count of Podgorica",re_central_europe,Central Europe,1645.0,historian,europe,Eastern Europe
37147,Q10400374,Šimon Podolský z Podolí,re_central_europe,Central Europe,1561.0,geographer | astronomer,europe,Eastern Europe
37151,Q4938263,Bohuslav Bílejovský,re_central_europe,Central Europe,1480.0,historian,europe,Eastern Europe
37152,Q95226850,Jan Zimmermann,re_central_europe,Central Europe,1632.0,theologian,europe,Eastern Europe
37154,Q12354239,Pál Medgyesi,re_central_europe,Central Europe,1604.0,theologian,europe,Eastern Europe
37156,Q42898070,Johann Georg Greisel,re_central_europe,Central Europe,1650.0,anatomist,europe,Eastern Europe
37160,Q106339,Silvester Stodewescher,re_central_europe,Central Europe,1500.0,theologian,europe,Eastern Europe
37168,Q61640238,Tomaž Gregolin,re_central_europe,Central Europe,1620.0,theologian,europe,Eastern Europe
37173,Q4345404,Jakub Parkoszowic,re_central_europe,Central Europe,1400.0,linguist,europe,Eastern Europe
37175,Q1348667,Epiphanius Slavinetsky,re_slav_world,Slav world,1600.0,linguist,europe,Eastern Europe
37176,Q628758,János Tomka Szászky,re_central_europe,Central Europe,1692.0,historian,europe,Eastern Europe
37180,Q75667,Martin Helwig,re_central_europe,Central Europe,1516.0,geographer,europe,Eastern Europe
37181,Q11767491,Marcin Biem,re_central_europe,Central Europe,1470.0,astronomer,europe,Eastern Europe
37191,Q561635,Symeon of Polotsk,re_slav_world,Slav world,1629.0,theologian | philosopher,europe,Eastern Europe
37195,Q23671249,Andrzej Abrek starszy,re_central_europe,Central Europe,1600.0,philosopher,europe,Eastern Europe
37202,Q63232,Maria Cunitz,re_central_europe,Central Europe,1610.0,astronomer,europe,Eastern Europe
37214,Q1174103,David Crolle,re_central_europe,Central Europe,1600.0,theologian,europe,Eastern Europe
37217,Q5753271,Hieronim Moskorzowski,re_central_europe,Central Europe,1560.0,theologian,europe,Eastern Europe
